time	V(n001)	V(n003)	I(C2)	I(C1)	I(V1)
0.000000000000000e+00	1.000000e+00	3.333333e-01	6.666666e-13	3.333333e-13	-6.666666e-13
9.999999717180685e-10	1.000000e+00	3.333333e-01	1.666667e-13	-2.980224e-08	8.940680e-08
1.999999943436137e-09	1.000000e+00	3.333333e-01	0.000000e+00	-1.986822e-08	1.192093e-07
3.999999886872274e-09	1.000000e+00	3.333333e-01	0.000000e+00	0.000000e+00	1.092752e-07
7.999999773744548e-09	1.000000e+00	3.333333e-01	0.000000e+00	0.000000e+00	7.450581e-08
1.599999954748910e-08	1.000000e+00	3.333333e-01	0.000000e+00	0.000000e+00	3.725290e-08
3.199999909497819e-08	1.000000e+00	3.333333e-01	0.000000e+00	0.000000e+00	1.862645e-08
6.399999818995639e-08	1.000000e+00	3.333333e-01	0.000000e+00	0.000000e+00	9.313226e-09
1.279999963799128e-07	1.000000e+00	3.333333e-01	0.000000e+00	0.000000e+00	4.656613e-09
2.559999927598255e-07	1.000000e+00	3.333333e-01	0.000000e+00	0.000000e+00	2.328306e-09
2.047999942078604e-06	1.000000e+00	3.333333e-01	0.000000e+00	0.000000e+00	2.910383e-10
9.795642009703442e-01	1.000000e+00	3.333333e-01	6.821210e-13	3.410605e-13	-6.821210e-13
9.990954509703442e-01	1.000000e+00	3.333333e-01	6.821210e-13	3.410605e-13	-6.821210e-13
1.000000000000000e+00	1.000000e+00	3.333333e-01	6.821210e-13	3.410605e-13	-6.821210e-13
