time	V(n001)	V(n002)	I(C1)	I(L1)	I(V1)
0.000000000000000e+00	1.000000e+00	1.000000e+00	1.000000e-12	1.110223e-12	-1.136868e-12
4.571428442139744e-09	1.000000e+00	1.000000e+00	2.096519e-10	1.110223e-12	-1.120522e-12
9.142856884279487e-09	1.000000e+00	1.000000e+00	7.034951e-10	1.110223e-12	-1.108356e-12
1.371428532641923e-08	1.000000e+00	1.000000e+00	1.482530e-09	1.110223e-12	-1.100370e-12
1.828571376855897e-08	1.000000e+00	1.000000e+00	2.546755e-09	1.110223e-12	-1.096563e-12
2.285714221069872e-08	1.000000e+00	1.000000e+00	3.896173e-09	1.110223e-12	-1.096937e-12
2.742857065283846e-08	1.000000e+00	1.000000e+00	5.530781e-09	1.110223e-12	-1.101490e-12
3.199999909497819e-08	1.000000e+00	1.000000e+00	7.450581e-09	1.110223e-12	-1.110223e-12
1.279999963799128e-07	1.000000e+00	1.000000e+00	-1.241763e-09	1.110223e-12	-1.110223e-12
2.559999927598255e-07	1.000000e+00	1.000000e+00	6.208817e-10	1.110223e-12	-1.110223e-12
9.795642009703442e-01	1.000000e+00	1.000000e+00	9.094947e-13	1.107616e-12	-1.107616e-12
9.990954509703442e-01	1.000000e+00	1.000000e+00	1.027534e-12	1.107563e-12	-1.107563e-12
1.000000000000000e+00	1.000000e+00	1.000000e+00	1.364242e-12	1.107561e-12	-1.107561e-12
