time	V(n001)	V(n003)	I(C2)	I(C1)	I(V1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	6.283185e-08	3.141593e-08	2.356194e+01	2.356194e+01	-2.356194e+01
1.999999943436137e-09	1.256637e-07	6.283185e-08	3.141593e+01	3.141593e+01	-3.141593e+01
4.288161386205582e-04	2.697838e-02	1.348160e-02	3.139968e+01	3.139968e+01	-3.139968e+01
8.576302772411729e-04	5.389180e-02	2.692904e-02	3.136140e+01	3.136140e+01	-3.136140e+01
1.286444415861788e-03	8.074038e-02	4.034240e-02	3.130109e+01	3.130109e+01	-3.130109e+01
1.715258554482402e-03	1.075241e-01	5.372166e-02	3.121874e+01	3.121874e+01	-3.121874e+01
2.144072693103017e-03	1.342430e-01	6.706684e-02	3.111435e+01	3.111435e+01	-3.111435e+01
2.572886831723632e-03	1.608971e-01	8.037793e-02	3.098793e+01	3.098793e+01	-3.098793e+01
3.001700970344245e-03	1.874863e-01	9.365494e-02	3.083947e+01	3.083947e+01	-3.083947e+01
4.954825970344245e-03	3.063163e-01	1.530140e-01	2.988700e+01	2.988700e+01	-2.988700e+01
6.907950970344245e-03	4.205390e-01	2.100717e-01	2.848499e+01	2.848499e+01	-2.848499e+01
8.861075970344245e-03	5.284365e-01	2.639696e-01	2.665454e+01	2.665454e+01	-2.665454e+01
1.081420097034425e-02	6.283857e-01	3.138972e-01	2.442318e+01	2.442318e+01	-2.442318e+01
1.276732597034425e-02	7.188835e-01	3.591035e-01	2.182447e+01	2.182447e+01	-2.182447e+01
1.472045097034425e-02	7.985685e-01	3.989086e-01	1.889751e+01	1.889751e+01	-1.889751e+01
1.667357597034425e-02	8.662424e-01	4.327137e-01	1.568630e+01	1.568630e+01	-1.568630e+01
1.862670097034425e-02	9.208872e-01	4.600103e-01	1.223916e+01	1.223916e+01	-1.223916e+01
2.057982597034425e-02	9.616809e-01	4.803880e-01	8.607937e+00	8.607937e+00	-8.607937e+00
2.253295097034425e-02	9.880101e-01	4.935402e-01	4.847239e+00	4.847239e+00	-4.847239e+00
2.448607597034425e-02	9.994787e-01	4.992691e-01	1.013633e+00	1.013633e+00	-1.013633e+00
2.643920097034425e-02	9.959142e-01	4.974886e-01	-2.835219e+00	-2.835219e+00	2.835219e+00
2.839232597034425e-02	9.773703e-01	4.882253e-01	-6.641426e+00	-6.641426e+00	6.641426e+00
3.034545097034425e-02	9.441257e-01	4.716187e-01	-1.034774e+01	-1.034774e+01	1.034774e+01
3.229857597034425e-02	8.966807e-01	4.479185e-01	-1.389841e+01	-1.389841e+01	1.389841e+01
3.425170097034425e-02	8.357487e-01	4.174811e-01	-1.724004e+01	-1.724004e+01	1.724004e+01
3.620482597034425e-02	7.622463e-01	3.807645e-01	-2.032237e+01	-2.032237e+01	2.032237e+01
3.815795097034425e-02	6.772790e-01	3.383209e-01	-2.309902e+01	-2.309902e+01	2.309902e+01
4.011107597034425e-02	5.821248e-01	2.907885e-01	-2.552825e+01	-2.552825e+01	2.552825e+01
4.206420097034425e-02	4.782149e-01	2.388825e-01	-2.757350e+01	-2.757350e+01	2.757350e+01
4.401732597034425e-02	3.671122e-01	1.833834e-01	-2.920403e+01	-2.920403e+01	2.920403e+01
4.597045097034425e-02	2.504877e-01	1.251260e-01	-3.039530e+01	-3.039530e+01	3.039530e+01
4.792357597034425e-02	1.300958e-01	6.498668e-02	-3.112939e+01	-3.112939e+01	3.112939e+01
4.987670097034425e-02	7.747029e-03	3.869870e-03	-3.139528e+01	-3.139528e+01	3.139528e+01
5.182982597034425e-02	-1.147182e-01	-5.730515e-02	-3.118894e+01	-3.118894e+01	3.118894e+01
5.378295097034425e-02	-2.354580e-01	-1.176182e-01	-3.051350e+01	-3.051350e+01	3.051350e+01
5.573607597034425e-02	-3.526563e-01	-1.761622e-01	-2.937910e+01	-2.937910e+01	2.937910e+01
5.768920097034425e-02	-4.645503e-01	-2.320566e-01	-2.780282e+01	-2.780282e+01	2.780282e+01
5.964232597034425e-02	-5.694571e-01	-2.844606e-01	-2.580835e+01	-2.580835e+01	2.580835e+01
6.159545097034425e-02	-6.657986e-01	-3.325861e-01	-2.342571e+01	-2.342571e+01	2.342571e+01
6.354857597034425e-02	-7.521260e-01	-3.757091e-01	-2.069072e+01	-2.069072e+01	2.069072e+01
6.550170097034425e-02	-8.271406e-01	-4.131812e-01	-1.764452e+01	-1.764452e+01	1.764452e+01
6.745482597034425e-02	-8.897144e-01	-4.444386e-01	-1.433293e+01	-1.433293e+01	1.433293e+01
6.940795097034425e-02	-9.389059e-01	-4.690112e-01	-1.080576e+01	-1.080576e+01	1.080576e+01
7.136107597034425e-02	-9.739755e-01	-4.865295e-01	-7.116061e+00	-7.116061e+00	7.116061e+00
7.331420097034425e-02	-9.943955e-01	-4.967299e-01	-3.319331e+00	-3.319331e+00	3.319331e+00
7.526732597034425e-02	-9.998589e-01	-4.994591e-01	5.273244e-01	5.273244e-01	-5.273244e-01
7.722045097034425e-02	-9.902835e-01	-4.946759e-01	4.366049e+00	4.366049e+00	-4.366049e+00
7.917357597034425e-02	-9.658134e-01	-4.824523e-01	8.139103e+00	8.139103e+00	-8.139103e+00
8.112670097034425e-02	-9.268165e-01	-4.629722e-01	1.178974e+01	1.178974e+01	-1.178974e+01
8.307982597034425e-02	-8.738794e-01	-4.365286e-01	1.526305e+01	1.526305e+01	-1.526305e+01
8.503295097034425e-02	-8.077983e-01	-4.035191e-01	1.850678e+01	1.850678e+01	-1.850678e+01
8.698607597034425e-02	-7.295672e-01	-3.644404e-01	2.147216e+01	2.147216e+01	-2.147216e+01
8.893920097034425e-02	-6.403628e-01	-3.198801e-01	2.411457e+01	2.411457e+01	-2.411457e+01
9.089232597034425e-02	-5.415267e-01	-2.705086e-01	2.639428e+01	2.639428e+01	-2.639428e+01
9.284545097034425e-02	-4.345455e-01	-2.170683e-01	2.827700e+01	2.827700e+01	-2.827700e+01
9.479857597034425e-02	-3.210284e-01	-1.603631e-01	2.973440e+01	2.973440e+01	-2.973440e+01
9.675170097034425e-02	-2.026826e-01	-1.012460e-01	3.074457e+01	3.074457e+01	-3.074457e+01
9.870482597034425e-02	-8.128840e-02	-4.060595e-02	3.129231e+01	3.129231e+01	-3.129231e+01
1.006579509703442e-01	4.132850e-02	2.064481e-02	3.136939e+01	3.136939e+01	-3.136939e+01
1.026110759703442e-01	1.633238e-01	8.158506e-02	3.097464e+01	3.097464e+01	-3.097464e+01
1.045642009703442e-01	2.828625e-01	1.412982e-01	3.011401e+01	3.011401e+01	-3.011401e+01
1.065173259703442e-01	3.981467e-01	1.988861e-01	2.880043e+01	2.880043e+01	-2.880043e+01
1.084704509703442e-01	5.074425e-01	2.534825e-01	2.705367e+01	2.705367e+01	-2.705367e+01
1.104235759703442e-01	6.091058e-01	3.042663e-01	2.489999e+01	2.489999e+01	-2.489999e+01
1.123767009703442e-01	7.016076e-01	3.504737e-01	2.237180e+01	2.237180e+01	-2.237180e+01
1.143298259703442e-01	7.835566e-01	3.914096e-01	1.950711e+01	1.950711e+01	-1.950711e+01
1.162829509703442e-01	8.537201e-01	4.264584e-01	1.634902e+01	1.634902e+01	-1.634902e+01
1.182360759703442e-01	9.110429e-01	4.550928e-01	1.294502e+01	1.294502e+01	-1.294502e+01
1.201892009703442e-01	9.546628e-01	4.768822e-01	9.346321e+00	9.346321e+00	-9.346321e+00
1.221423259703442e-01	9.839236e-01	4.914989e-01	5.607042e+00	5.607042e+00	-5.607042e+00
1.240954509703442e-01	9.983854e-01	4.987230e-01	1.783428e+00	1.783428e+00	-1.783428e+00
1.260485759703442e-01	9.978305e-01	4.984458e-01	-2.067011e+00	-2.067011e+00	2.067011e+00
1.280017009703442e-01	9.822672e-01	4.906715e-01	-5.886360e+00	-5.886360e+00	5.886360e+00
1.299548259703442e-01	9.519298e-01	4.755170e-01	-9.617173e+00	-9.617173e+00	9.617173e+00
1.319079509703442e-01	9.072744e-01	4.532104e-01	-1.320333e+01	-1.320333e+01	1.320333e+01
1.338610759703442e-01	8.489729e-01	4.240870e-01	-1.659091e+01	-1.659091e+01	1.659091e+01
1.358142009703442e-01	7.779019e-01	3.885850e-01	-1.972894e+01	-1.972894e+01	1.972894e+01
1.377673259703442e-01	6.951306e-01	3.472382e-01	-2.257022e+01	-2.257022e+01	2.257022e+01
1.397204509703442e-01	6.019039e-01	3.006688e-01	-2.507203e+01	-2.507203e+01	2.507203e+01
1.416735759703442e-01	4.996240e-01	2.495769e-01	-2.719673e+01	-2.719673e+01	2.719673e+01
1.436267009703442e-01	3.898293e-01	1.947312e-01	-2.891237e+01	-2.891237e+01	2.891237e+01
1.455798259703442e-01	2.741711e-01	1.369566e-01	-3.019314e+01	-3.019314e+01	3.019314e+01
1.475329509703442e-01	1.543892e-01	7.712199e-02	-3.101978e+01	-3.101978e+01	3.101978e+01
1.494860759703442e-01	3.228519e-02	1.612740e-02	-3.137985e+01	-3.137985e+01	3.137985e+01
1.514392009703442e-01	-9.030447e-02	-4.510975e-02	-3.126794e+01	-3.126794e+01	3.126794e+01
1.533923259703442e-01	-2.115359e-01	-1.056684e-01	-3.068573e+01	-3.068573e+01	3.068573e+01
1.553454509703442e-01	-3.295856e-01	-1.646377e-01	-2.964198e+01	-2.964198e+01	2.964198e+01
1.572985759703442e-01	-4.426780e-01	-2.211307e-01	-2.815238e+01	-2.815238e+01	2.815238e+01
1.592517009703442e-01	-5.491121e-01	-2.742977e-01	-2.623935e+01	-2.623935e+01	2.623935e+01
1.612048259703442e-01	-6.472871e-01	-3.233390e-01	-2.393165e+01	-2.393165e+01	2.393165e+01
1.631579509703442e-01	-7.357263e-01	-3.675170e-01	-2.126400e+01	-2.126400e+01	2.126400e+01
1.651110759703442e-01	-8.130995e-01	-4.061672e-01	-1.827652e+01	-1.827652e+01	1.827652e+01
1.670642009703442e-01	-8.782429e-01	-4.387082e-01	-1.501414e+01	-1.501414e+01	1.501414e+01
1.690173259703442e-01	-9.301767e-01	-4.646507e-01	-1.152593e+01	-1.152593e+01	1.152593e+01
1.709704509703442e-01	-9.681197e-01	-4.836044e-01	-7.864368e+00	-7.864368e+00	7.864368e+00
1.729235759703442e-01	-9.915015e-01	-4.952843e-01	-4.084515e+00	-4.084515e+00	4.084515e+00
1.748767009703442e-01	-9.999700e-01	-4.995145e-01	-2.432274e-01	-2.432274e-01	2.432274e-01
1.768298259703442e-01	-9.933981e-01	-4.962317e-01	3.601719e+00	3.601719e+00	-3.601719e+00
1.787829509703442e-01	-9.718845e-01	-4.854850e-01	7.392491e+00	7.392491e+00	-7.392491e+00
1.807360759703442e-01	-9.357529e-01	-4.674362e-01	1.107207e+01	1.107207e+01	-1.107207e+01
1.826892009703442e-01	-8.855467e-01	-4.423567e-01	1.458512e+01	1.458512e+01	-1.458512e+01
1.846423259703442e-01	-8.220211e-01	-4.106238e-01	1.787880e+01	1.787880e+01	-1.787880e+01
1.865954509703442e-01	-7.461315e-01	-3.727147e-01	2.090356e+01	2.090356e+01	-2.090356e+01
1.885485759703442e-01	-6.590194e-01	-3.291996e-01	2.361391e+01	2.361391e+01	-2.361391e+01
1.905017009703442e-01	-5.619950e-01	-2.807331e-01	2.596909e+01	2.596909e+01	-2.596909e+01
1.924548259703442e-01	-4.565177e-01	-2.280440e-01	2.793366e+01	2.793366e+01	-2.793366e+01
1.944079509703442e-01	-3.441739e-01	-1.719250e-01	2.947809e+01	2.947809e+01	-2.947809e+01
1.963610759703442e-01	-2.266535e-01	-1.132201e-01	3.057915e+01	3.057915e+01	-3.057915e+01
1.983142009703442e-01	-1.057239e-01	-5.281222e-02	3.122026e+01	3.122026e+01	-3.122026e+01
2.002673259703442e-01	1.679580e-02	8.389996e-03	3.139179e+01	3.139179e+01	-3.139179e+01
2.022204509703442e-01	1.390629e-01	6.946602e-02	3.109116e+01	3.109116e+01	-3.109116e+01
2.041735759703442e-01	2.592384e-01	1.294972e-01	3.032289e+01	3.032289e+01	-3.032289e+01
2.061267009703442e-01	3.755146e-01	1.875806e-01	2.909853e+01	2.909853e+01	-2.909853e+01
2.080798259703442e-01	4.861428e-01	2.428427e-01	2.743651e+01	2.743651e+01	-2.743651e+01
2.100329509703442e-01	5.894589e-01	2.944522e-01	2.536181e+01	2.536181e+01	-2.536181e+01
2.119860759703442e-01	6.839091e-01	3.416328e-01	2.290565e+01	2.290565e+01	-2.290565e+01
2.139392009703442e-01	7.680726e-01	3.836749e-01	2.010497e+01	2.010497e+01	-2.010497e+01
2.158923259703442e-01	8.406836e-01	4.199463e-01	1.700189e+01	1.700189e+01	-1.700189e+01
2.178454509703442e-01	9.006499e-01	4.499012e-01	1.364308e+01	1.364308e+01	-1.364308e+01
2.197985759703442e-01	9.470696e-01	4.730892e-01	1.007908e+01	1.007908e+01	-1.007908e+01
2.217517009703442e-01	9.792445e-01	4.891615e-01	6.363468e+00	6.363468e+00	-6.363468e+00
2.237048259703442e-01	9.966906e-01	4.978764e-01	2.552148e+00	2.552148e+00	-2.552148e+00
2.256579509703442e-01	9.991456e-01	4.991027e-01	-1.297559e+00	-1.297559e+00	1.297559e+00
2.276110759703442e-01	9.865725e-01	4.928221e-01	-5.127749e+00	-5.127749e+00	5.127749e+00
2.295642009703442e-01	9.591604e-01	4.791290e-01	-8.880814e+00	-8.880814e+00	8.880814e+00
2.315173259703442e-01	9.173217e-01	4.582293e-01	-1.250030e+01	-1.250030e+01	1.250030e+01
2.334704509703442e-01	8.616856e-01	4.304374e-01	-1.593177e+01	-1.593177e+01	1.593177e+01
2.354235759703442e-01	7.930890e-01	3.961714e-01	-1.912362e+01	-1.912362e+01	1.912362e+01
2.373767009703442e-01	7.125635e-01	3.559465e-01	-2.202782e+01	-2.202782e+01	2.202782e+01
2.393298259703442e-01	6.213205e-01	3.103679e-01	-2.460071e+01	-2.460071e+01	2.460071e+01
2.412829509703442e-01	5.207322e-01	2.601211e-01	-2.680358e+01	-2.680358e+01	2.680358e+01
2.432360759703442e-01	4.123116e-01	2.059618e-01	-2.860330e+01	-2.860330e+01	2.860330e+01
2.451892009703442e-01	2.976894e-01	1.487046e-01	-2.997280e+01	-2.997280e+01	2.997280e+01
2.471423259703442e-01	1.785897e-01	8.921085e-02	-3.089148e+01	-3.089148e+01	3.089148e+01
2.490954509703442e-01	5.680390e-02	2.837523e-02	-3.134552e+01	-3.134552e+01	3.134552e+01
2.510485759703442e-01	-6.583632e-02	-3.288719e-02	-3.132810e+01	-3.132810e+01	3.132810e+01
2.530017009703442e-01	-1.874863e-01	-9.365494e-02	-3.083948e+01	-3.083948e+01	3.083948e+01
2.549548259703442e-01	-3.063163e-01	-1.530140e-01	-2.988699e+01	-2.988699e+01	2.988699e+01
2.569079509703442e-01	-4.205390e-01	-2.100717e-01	-2.848499e+01	-2.848499e+01	2.848499e+01
2.588610759703442e-01	-5.284365e-01	-2.639696e-01	-2.665454e+01	-2.665454e+01	2.665454e+01
2.608142009703442e-01	-6.283857e-01	-3.138972e-01	-2.442318e+01	-2.442318e+01	2.442318e+01
2.627673259703442e-01	-7.188835e-01	-3.591035e-01	-2.182447e+01	-2.182447e+01	2.182447e+01
2.647204509703442e-01	-7.985685e-01	-3.989086e-01	-1.889750e+01	-1.889750e+01	1.889750e+01
2.666735759703442e-01	-8.662424e-01	-4.327137e-01	-1.568630e+01	-1.568630e+01	1.568630e+01
2.686267009703442e-01	-9.208872e-01	-4.600103e-01	-1.223916e+01	-1.223916e+01	1.223916e+01
2.705798259703442e-01	-9.616809e-01	-4.803880e-01	-8.607937e+00	-8.607937e+00	8.607937e+00
2.725329509703442e-01	-9.880101e-01	-4.935402e-01	-4.847239e+00	-4.847239e+00	4.847239e+00
2.744860759703442e-01	-9.994787e-01	-4.992691e-01	-1.013633e+00	-1.013633e+00	1.013633e+00
2.764392009703442e-01	-9.959142e-01	-4.974886e-01	2.835219e+00	2.835219e+00	-2.835219e+00
2.783923259703442e-01	-9.773703e-01	-4.882253e-01	6.641426e+00	6.641426e+00	-6.641426e+00
2.803454509703442e-01	-9.441257e-01	-4.716187e-01	1.034774e+01	1.034774e+01	-1.034774e+01
2.822985759703442e-01	-8.966807e-01	-4.479185e-01	1.389841e+01	1.389841e+01	-1.389841e+01
2.842517009703442e-01	-8.357487e-01	-4.174811e-01	1.724004e+01	1.724004e+01	-1.724004e+01
2.862048259703442e-01	-7.622463e-01	-3.807645e-01	2.032237e+01	2.032237e+01	-2.032237e+01
2.881579509703442e-01	-6.772790e-01	-3.383209e-01	2.309902e+01	2.309902e+01	-2.309902e+01
2.901110759703442e-01	-5.821248e-01	-2.907885e-01	2.552825e+01	2.552825e+01	-2.552825e+01
2.920642009703442e-01	-4.782149e-01	-2.388825e-01	2.757350e+01	2.757350e+01	-2.757350e+01
2.940173259703442e-01	-3.671122e-01	-1.833834e-01	2.920403e+01	2.920403e+01	-2.920403e+01
2.959704509703442e-01	-2.504877e-01	-1.251260e-01	3.039530e+01	3.039530e+01	-3.039530e+01
2.979235759703442e-01	-1.300958e-01	-6.498668e-02	3.112939e+01	3.112939e+01	-3.112939e+01
2.998767009703442e-01	-7.747029e-03	-3.869870e-03	3.139528e+01	3.139528e+01	-3.139528e+01
3.018298259703442e-01	1.147182e-01	5.730515e-02	3.118894e+01	3.118894e+01	-3.118894e+01
3.037829509703442e-01	2.354580e-01	1.176182e-01	3.051350e+01	3.051350e+01	-3.051350e+01
3.057360759703442e-01	3.526563e-01	1.761622e-01	2.937910e+01	2.937910e+01	-2.937910e+01
3.076892009703442e-01	4.645503e-01	2.320566e-01	2.780282e+01	2.780282e+01	-2.780282e+01
3.096423259703442e-01	5.694571e-01	2.844606e-01	2.580835e+01	2.580835e+01	-2.580835e+01
3.115954509703442e-01	6.657986e-01	3.325861e-01	2.342570e+01	2.342570e+01	-2.342570e+01
3.135485759703442e-01	7.521260e-01	3.757091e-01	2.069072e+01	2.069072e+01	-2.069072e+01
3.155017009703442e-01	8.271406e-01	4.131812e-01	1.764452e+01	1.764452e+01	-1.764452e+01
3.174548259703442e-01	8.897144e-01	4.444386e-01	1.433293e+01	1.433293e+01	-1.433293e+01
3.194079509703442e-01	9.389059e-01	4.690112e-01	1.080576e+01	1.080576e+01	-1.080576e+01
3.213610759703442e-01	9.739755e-01	4.865295e-01	7.116061e+00	7.116061e+00	-7.116061e+00
3.233142009703442e-01	9.943955e-01	4.967299e-01	3.319331e+00	3.319331e+00	-3.319331e+00
3.252673259703442e-01	9.998589e-01	4.994591e-01	-5.273244e-01	-5.273244e-01	5.273244e-01
3.272204509703442e-01	9.902835e-01	4.946759e-01	-4.366049e+00	-4.366049e+00	4.366049e+00
3.291735759703442e-01	9.658134e-01	4.824523e-01	-8.139103e+00	-8.139103e+00	8.139103e+00
3.311267009703442e-01	9.268165e-01	4.629722e-01	-1.178974e+01	-1.178974e+01	1.178974e+01
3.330798259703442e-01	8.738794e-01	4.365286e-01	-1.526305e+01	-1.526305e+01	1.526305e+01
