time	V(n002)	I(C1)	I(V1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	6.283185e-08	4.712389e+01	-4.712389e+01
1.999999943436137e-09	1.256637e-07	6.283185e+01	-6.283185e+01
4.288161386205582e-04	2.697838e-02	6.279936e+01	-6.279936e+01
8.576302772411729e-04	5.389180e-02	6.272280e+01	-6.272280e+01
1.286444415861788e-03	8.074038e-02	6.260217e+01	-6.260217e+01
1.715258554482402e-03	1.075241e-01	6.243747e+01	-6.243747e+01
2.144072693103017e-03	1.342430e-01	6.222870e+01	-6.222870e+01
2.572886831723632e-03	1.608971e-01	6.197586e+01	-6.197586e+01
3.001700970344245e-03	1.874863e-01	6.167895e+01	-6.167895e+01
4.954825970344245e-03	3.063163e-01	5.977399e+01	-5.977399e+01
6.907950970344245e-03	4.205390e-01	5.696997e+01	-5.696997e+01
8.861075970344245e-03	5.284365e-01	5.330907e+01	-5.330907e+01
1.081420097034425e-02	6.283857e-01	4.884636e+01	-4.884636e+01
1.276732597034425e-02	7.188835e-01	4.364894e+01	-4.364894e+01
1.472045097034425e-02	7.985685e-01	3.779501e+01	-3.779501e+01
1.667357597034425e-02	8.662424e-01	3.137261e+01	-3.137261e+01
1.862670097034425e-02	9.208872e-01	2.447833e+01	-2.447833e+01
2.057982597034425e-02	9.616809e-01	1.721587e+01	-1.721587e+01
2.253295097034425e-02	9.880101e-01	9.694477e+00	-9.694477e+00
2.448607597034425e-02	9.994787e-01	2.027266e+00	-2.027266e+00
2.643920097034425e-02	9.959142e-01	-5.670438e+00	5.670438e+00
2.839232597034425e-02	9.773703e-01	-1.328285e+01	1.328285e+01
3.034545097034425e-02	9.441257e-01	-2.069548e+01	2.069548e+01
3.229857597034425e-02	8.966807e-01	-2.779683e+01	2.779683e+01
3.425170097034425e-02	8.357487e-01	-3.448009e+01	3.448009e+01
3.620482597034425e-02	7.622463e-01	-4.064473e+01	4.064473e+01
3.815795097034425e-02	6.772790e-01	-4.619804e+01	4.619804e+01
4.011107597034425e-02	5.821248e-01	-5.105650e+01	5.105650e+01
4.206420097034425e-02	4.782149e-01	-5.514701e+01	5.514701e+01
4.401732597034425e-02	3.671122e-01	-5.840806e+01	5.840806e+01
4.597045097034425e-02	2.504877e-01	-6.079060e+01	6.079060e+01
4.792357597034425e-02	1.300958e-01	-6.225879e+01	6.225879e+01
4.987670097034425e-02	7.747029e-03	-6.279055e+01	6.279055e+01
5.182982597034425e-02	-1.147182e-01	-6.237788e+01	6.237788e+01
5.378295097034425e-02	-2.354580e-01	-6.102699e+01	6.102699e+01
5.573607597034425e-02	-3.526563e-01	-5.875820e+01	5.875820e+01
5.768920097034425e-02	-4.645503e-01	-5.560564e+01	5.560564e+01
5.964232597034425e-02	-5.694571e-01	-5.161671e+01	5.161671e+01
6.159545097034425e-02	-6.657986e-01	-4.685141e+01	4.685141e+01
6.354857597034425e-02	-7.521260e-01	-4.138143e+01	4.138143e+01
6.550170097034425e-02	-8.271406e-01	-3.528903e+01	3.528903e+01
6.745482597034425e-02	-8.897144e-01	-2.866586e+01	2.866586e+01
6.940795097034425e-02	-9.389059e-01	-2.161152e+01	2.161152e+01
7.136107597034425e-02	-9.739755e-01	-1.423212e+01	1.423212e+01
7.331420097034425e-02	-9.943955e-01	-6.638662e+00	6.638662e+00
7.526732597034425e-02	-9.998589e-01	1.054649e+00	-1.054649e+00
7.722045097034425e-02	-9.902835e-01	8.732098e+00	-8.732098e+00
7.917357597034425e-02	-9.658134e-01	1.627821e+01	-1.627821e+01
8.112670097034425e-02	-9.268165e-01	2.357948e+01	-2.357948e+01
8.307982597034425e-02	-8.738794e-01	3.052609e+01	-3.052609e+01
8.503295097034425e-02	-8.077983e-01	3.701356e+01	-3.701356e+01
8.698607597034425e-02	-7.295672e-01	4.294432e+01	-4.294432e+01
8.893920097034425e-02	-6.403628e-01	4.822915e+01	-4.822915e+01
9.089232597034425e-02	-5.415267e-01	5.278857e+01	-5.278857e+01
9.284545097034425e-02	-4.345455e-01	5.655400e+01	-5.655400e+01
9.479857597034425e-02	-3.210284e-01	5.946880e+01	-5.946880e+01
9.675170097034425e-02	-2.026826e-01	6.148914e+01	-6.148914e+01
9.870482597034425e-02	-8.128840e-02	6.258463e+01	-6.258463e+01
1.006579509703442e-01	4.132850e-02	6.273878e+01	-6.273878e+01
1.026110759703442e-01	1.633238e-01	6.194929e+01	-6.194929e+01
1.045642009703442e-01	2.828625e-01	6.022802e+01	-6.022802e+01
1.065173259703442e-01	3.981467e-01	5.760086e+01	-5.760086e+01
1.084704509703442e-01	5.074425e-01	5.410734e+01	-5.410734e+01
1.104235759703442e-01	6.091058e-01	4.979999e+01	-4.979999e+01
1.123767009703442e-01	7.016076e-01	4.474360e+01	-4.474360e+01
1.143298259703442e-01	7.835566e-01	3.901423e+01	-3.901423e+01
1.162829509703442e-01	8.537201e-01	3.269804e+01	-3.269804e+01
1.182360759703442e-01	9.110429e-01	2.589005e+01	-2.589005e+01
1.201892009703442e-01	9.546628e-01	1.869264e+01	-1.869264e+01
1.221423259703442e-01	9.839236e-01	1.121408e+01	-1.121408e+01
1.240954509703442e-01	9.983854e-01	3.566855e+00	-3.566855e+00
1.260485759703442e-01	9.978305e-01	-4.134023e+00	4.134023e+00
1.280017009703442e-01	9.822672e-01	-1.177272e+01	1.177272e+01
1.299548259703442e-01	9.519298e-01	-1.923435e+01	1.923435e+01
1.319079509703442e-01	9.072744e-01	-2.640667e+01	2.640667e+01
1.338610759703442e-01	8.489729e-01	-3.318181e+01	3.318181e+01
1.358142009703442e-01	7.779019e-01	-3.945787e+01	3.945787e+01
1.377673259703442e-01	6.951306e-01	-4.514044e+01	4.514044e+01
1.397204509703442e-01	6.019039e-01	-5.014406e+01	5.014406e+01
1.416735759703442e-01	4.996240e-01	-5.439347e+01	5.439347e+01
1.436267009703442e-01	3.898293e-01	-5.782475e+01	5.782475e+01
1.455798259703442e-01	2.741711e-01	-6.038628e+01	6.038628e+01
1.475329509703442e-01	1.543892e-01	-6.203956e+01	6.203956e+01
1.494860759703442e-01	3.228519e-02	-6.275970e+01	6.275970e+01
1.514392009703442e-01	-9.030447e-02	-6.253588e+01	6.253588e+01
1.533923259703442e-01	-2.115359e-01	-6.137146e+01	6.137146e+01
1.553454509703442e-01	-3.295856e-01	-5.928395e+01	5.928395e+01
1.572985759703442e-01	-4.426780e-01	-5.630476e+01	5.630476e+01
1.592517009703442e-01	-5.491121e-01	-5.247869e+01	5.247869e+01
1.612048259703442e-01	-6.472871e-01	-4.786330e+01	4.786330e+01
1.631579509703442e-01	-7.357263e-01	-4.252799e+01	4.252799e+01
1.651110759703442e-01	-8.130995e-01	-3.655303e+01	3.655303e+01
1.670642009703442e-01	-8.782429e-01	-3.002827e+01	3.002827e+01
1.690173259703442e-01	-9.301767e-01	-2.305187e+01	2.305187e+01
1.709704509703442e-01	-9.681197e-01	-1.572874e+01	1.572874e+01
1.729235759703442e-01	-9.915015e-01	-8.169030e+00	8.169030e+00
1.748767009703442e-01	-9.999700e-01	-4.864548e-01	4.864548e-01
1.768298259703442e-01	-9.933981e-01	7.203437e+00	-7.203437e+00
1.787829509703442e-01	-9.718845e-01	1.478498e+01	-1.478498e+01
1.807360759703442e-01	-9.357529e-01	2.214415e+01	-2.214415e+01
1.826892009703442e-01	-8.855467e-01	2.917025e+01	-2.917025e+01
1.846423259703442e-01	-8.220211e-01	3.575760e+01	-3.575760e+01
1.865954509703442e-01	-7.461315e-01	4.180712e+01	-4.180712e+01
1.885485759703442e-01	-6.590194e-01	4.722782e+01	-4.722782e+01
1.905017009703442e-01	-5.619950e-01	5.193818e+01	-5.193818e+01
1.924548259703442e-01	-4.565177e-01	5.586733e+01	-5.586733e+01
1.944079509703442e-01	-3.441739e-01	5.895619e+01	-5.895619e+01
1.963610759703442e-01	-2.266535e-01	6.115829e+01	-6.115829e+01
1.983142009703442e-01	-1.057239e-01	6.244051e+01	-6.244051e+01
2.002673259703442e-01	1.679580e-02	6.278358e+01	-6.278358e+01
2.022204509703442e-01	1.390629e-01	6.218231e+01	-6.218231e+01
2.041735759703442e-01	2.592384e-01	6.064577e+01	-6.064577e+01
2.061267009703442e-01	3.755146e-01	5.819706e+01	-5.819706e+01
2.080798259703442e-01	4.861428e-01	5.487301e+01	-5.487301e+01
2.100329509703442e-01	5.894589e-01	5.072362e+01	-5.072362e+01
2.119860759703442e-01	6.839091e-01	4.581130e+01	-4.581130e+01
2.139392009703442e-01	7.680726e-01	4.020994e+01	-4.020994e+01
2.158923259703442e-01	8.406836e-01	3.400378e+01	-3.400378e+01
2.178454509703442e-01	9.006499e-01	2.728617e+01	-2.728617e+01
2.197985759703442e-01	9.470696e-01	2.015815e+01	-2.015815e+01
2.217517009703442e-01	9.792445e-01	1.272694e+01	-1.272694e+01
