time	V(n002)	I(C1)	I(I1)	I(V1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-1.000000e+00
9.999999717180685e-10	6.283185e-08	4.712389e+01	1.000000e+00	-4.812389e+01
1.999999943436137e-09	1.256637e-07	6.283185e+01	1.000000e+00	-6.383185e+01
4.288161386205582e-04	2.697838e-02	6.279936e+01	1.000000e+00	-6.379936e+01
8.576302772411729e-04	5.389180e-02	6.272280e+01	1.000000e+00	-6.372280e+01
1.286444415861788e-03	8.074038e-02	6.260217e+01	1.000000e+00	-6.360217e+01
1.715258554482402e-03	1.075241e-01	6.243747e+01	1.000000e+00	-6.343747e+01
2.144072693103017e-03	1.342430e-01	6.222870e+01	1.000000e+00	-6.322870e+01
2.572886831723632e-03	1.608971e-01	6.197586e+01	1.000000e+00	-6.297586e+01
3.001700970344245e-03	1.874863e-01	6.167895e+01	1.000000e+00	-6.267895e+01
4.954825970344245e-03	3.063163e-01	5.977399e+01	1.000000e+00	-6.077399e+01
6.907950970344245e-03	4.205390e-01	5.696997e+01	1.000000e+00	-5.796997e+01
8.861075970344245e-03	5.284365e-01	5.330907e+01	1.000000e+00	-5.430907e+01
1.081420097034425e-02	6.283857e-01	4.884636e+01	1.000000e+00	-4.984636e+01
1.276732597034425e-02	7.188835e-01	4.364894e+01	1.000000e+00	-4.464894e+01
1.472045097034425e-02	7.985685e-01	3.779501e+01	1.000000e+00	-3.879501e+01
1.667357597034425e-02	8.662424e-01	3.137261e+01	1.000000e+00	-3.237261e+01
1.862670097034425e-02	9.208872e-01	2.447833e+01	1.000000e+00	-2.547833e+01
2.057982597034425e-02	9.616809e-01	1.721587e+01	1.000000e+00	-1.821587e+01
2.253295097034425e-02	9.880101e-01	9.694477e+00	1.000000e+00	-1.069448e+01
2.448607597034425e-02	9.994787e-01	2.027266e+00	1.000000e+00	-3.027266e+00
2.546263847034425e-02	9.995775e-01	-1.825021e+00	1.000000e+00	8.250206e-01
2.741576347034425e-02	9.885024e-01	-9.494513e+00	1.000000e+00	8.494513e+00
