time	V(n001)	V(n002)	I(C1)	I(L1)	I(I1)	I(V1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-1.000000e+00
1.773522717419118e-04	1.114562e-02	-6.428704e-10	1.027255e-06	1.027255e-06	1.000000e+00	-1.000001e+00
3.547045434838237e-04	2.228672e-02	6.889981e-12	4.103865e-06	4.103865e-06	1.000000e+00	-1.000004e+00
5.320568152257355e-04	3.342331e-02	1.949281e-09	9.229831e-06	9.229831e-06	1.000000e+00	-1.000009e+00
7.094090869676473e-04	4.455538e-02	5.184303e-09	1.640515e-05	1.640515e-05	1.000000e+00	-1.000016e+00
8.867613587095591e-04	5.568294e-02	9.711956e-09	2.562983e-05	2.562983e-05	1.000000e+00	-1.000026e+00
1.064113630451471e-03	6.680599e-02	1.553224e-08	3.690386e-05	3.690386e-05	1.000000e+00	-1.000037e+00
1.241465902193382e-03	7.792453e-02	2.264515e-08	5.022725e-05	5.022725e-05	1.000000e+00	-1.000050e+00
1.634045417283858e-03	1.024898e-01	5.162477e-08	8.697742e-05	8.697742e-05	1.000000e+00	-1.000087e+00
2.151113781352066e-03	1.347473e-01	1.177249e-07	1.506167e-04	1.506167e-04	1.000000e+00	-1.000151e+00
2.832113770507271e-03	1.770093e-01	2.684660e-07	2.607304e-04	2.607304e-04	1.000000e+00	-1.000261e+00
3.729892775077526e-03	2.322167e-01	5.998514e-07	4.483701e-04	4.483701e-04	1.000000e+00	-1.000448e+00
4.706455275077526e-03	2.914242e-01	1.167527e-06	7.049942e-04	7.049942e-04	1.000000e+00	-1.000705e+00
5.683017775077526e-03	3.495348e-01	2.008669e-06	1.017665e-03	1.017665e-03	1.000000e+00	-1.001018e+00
6.659580275077526e-03	4.063298e-01	3.182524e-06	1.386389e-03	1.386389e-03	1.000000e+00	-1.001386e+00
7.636142775077526e-03	4.615956e-01	4.743152e-06	1.809777e-03	1.809777e-03	1.000000e+00	-1.001810e+00
8.612705275077525e-03	5.151239e-01	6.743157e-06	2.286234e-03	2.286234e-03	1.000000e+00	-1.002286e+00
9.589267775077525e-03	5.667135e-01	9.233490e-06	2.813968e-03	2.813968e-03	1.000000e+00	-1.002814e+00
1.056583027507753e-02	6.161700e-01	1.226325e-05	3.390990e-03	3.390990e-03	1.000000e+00	-1.003391e+00
1.154239277507753e-02	6.633075e-01	1.587952e-05	4.015130e-03	4.015130e-03	1.000000e+00	-1.004015e+00
1.251895527507753e-02	7.079484e-01	2.012717e-05	4.684037e-03	4.684037e-03	1.000000e+00	-1.004684e+00
1.349551777507753e-02	7.499248e-01	2.504866e-05	5.395193e-03	5.395193e-03	1.000000e+00	-1.005395e+00
1.447208027507753e-02	7.890786e-01	3.068397e-05	6.145919e-03	6.145919e-03	1.000000e+00	-1.006146e+00
1.642520527507753e-02	8.583403e-01	4.424224e-05	7.754642e-03	7.754642e-03	1.000000e+00	-1.007755e+00
1.837833027507753e-02	9.146917e-01	6.106539e-05	9.486000e-03	9.486000e-03	1.000000e+00	-1.009486e+00
2.033145527507753e-02	9.572854e-01	8.136770e-05	1.131395e-02	1.131395e-02	1.000000e+00	-1.011314e+00
2.228458027507753e-02	9.854805e-01	1.053111e-04	1.321097e-02	1.321097e-02	1.000000e+00	-1.013211e+00
2.423770527507753e-02	9.988532e-01	1.330028e-04	1.514854e-02	1.514854e-02	1.000000e+00	-1.015149e+00
2.619083027507753e-02	9.972022e-01	1.644934e-04	1.709750e-02	1.709750e-02	1.000000e+00	-1.017097e+00
2.814395527507753e-02	9.805523e-01	1.997767e-04	1.902851e-02	1.902851e-02	1.000000e+00	-1.019028e+00
3.009708027507753e-02	9.491539e-01	2.387891e-04	2.091252e-02	2.091252e-02	1.000000e+00	-1.020913e+00
3.205020527507753e-02	9.034795e-01	2.814110e-04	2.272118e-02	2.272118e-02	1.000000e+00	-1.022721e+00
3.400333027507753e-02	8.442158e-01	3.274686e-04	2.442728e-02	2.442728e-02	1.000000e+00	-1.024427e+00
3.595645527507753e-02	7.722543e-01	3.767361e-04	2.600513e-02	2.600513e-02	1.000000e+00	-1.026005e+00
3.790958027507753e-02	6.886775e-01	4.289398e-04	2.743098e-02	2.743098e-02	1.000000e+00	-1.027431e+00
3.986270527507753e-02	5.947422e-01	4.837613e-04	2.868338e-02	2.868338e-02	1.000000e+00	-1.028683e+00
4.181583027507753e-02	4.918616e-01	5.408433e-04	2.974346e-02	2.974346e-02	1.000000e+00	-1.029743e+00
4.376895527507753e-02	3.815828e-01	5.997941e-04	3.059526e-02	3.059526e-02	1.000000e+00	-1.030595e+00
4.572208027507753e-02	2.655647e-01	6.601940e-04	3.122595e-02	3.122595e-02	1.000000e+00	-1.031226e+00
4.767520527507753e-02	1.455523e-01	7.216015e-04	3.162602e-02	3.162602e-02	1.000000e+00	-1.031626e+00
4.962833027507753e-02	2.335058e-02	7.835597e-04	3.178943e-02	3.178943e-02	1.000000e+00	-1.031789e+00
5.158145527507753e-02	-9.920233e-02	8.456038e-04	3.171370e-02	3.171370e-02	1.000000e+00	-1.031714e+00
5.353458027507753e-02	-2.202631e-01	9.072670e-04	3.139995e-02	3.139995e-02	1.000000e+00	-1.031400e+00
5.548770527507753e-02	-3.380110e-01	9.680889e-04	3.085287e-02	3.085287e-02	1.000000e+00	-1.030853e+00
5.744083027507753e-02	-4.506748e-01	1.027621e-03	3.008066e-02	3.008066e-02	1.000000e+00	-1.030081e+00
5.939395527507753e-02	-5.565601e-01	1.085435e-03	2.909491e-02	2.909491e-02	1.000000e+00	-1.029095e+00
6.134708027507753e-02	-6.540742e-01	1.141127e-03	2.791042e-02	2.791042e-02	1.000000e+00	-1.027910e+00
6.330020527507753e-02	-7.417504e-01	1.194327e-03	2.654497e-02	2.654497e-02	1.000000e+00	-1.026545e+00
6.525333027507753e-02	-8.182700e-01	1.244701e-03	2.501908e-02	2.501908e-02	1.000000e+00	-1.025019e+00
6.720645527507753e-02	-8.824821e-01	1.291958e-03	2.335566e-02	2.335566e-02	1.000000e+00	-1.023356e+00
6.915958027507753e-02	-9.334208e-01	1.335852e-03	2.157971e-02	2.157971e-02	1.000000e+00	-1.021580e+00
7.111270527507753e-02	-9.703199e-01	1.376190e-03	1.971790e-02	1.971790e-02	1.000000e+00	-1.019718e+00
7.306583027507753e-02	-9.926246e-01	1.412832e-03	1.779820e-02	1.779820e-02	1.000000e+00	-1.017798e+00
7.501895527507753e-02	-9.999993e-01	1.445693e-03	1.584945e-02	1.584945e-02	1.000000e+00	-1.015849e+00
7.697208027507753e-02	-9.923331e-01	1.474745e-03	1.390093e-02	1.390093e-02	1.000000e+00	-1.013901e+00
7.892520527507753e-02	-9.697412e-01	1.500015e-03	1.198191e-02	1.198191e-02	1.000000e+00	-1.011982e+00
8.087833027507753e-02	-9.325635e-01	1.521592e-03	1.012121e-02	1.012121e-02	1.000000e+00	-1.010121e+00
8.283145527507753e-02	-8.813592e-01	1.539615e-03	8.346794e-03	8.346794e-03	1.000000e+00	-1.008347e+00
8.478458027507753e-02	-8.168985e-01	1.554279e-03	6.685302e-03	6.685302e-03	1.000000e+00	-1.006685e+00
8.576114277507753e-02	-7.799925e-01	1.560427e-03	5.904776e-03	5.904776e-03	1.000000e+00	-1.005905e+00
8.673770527507753e-02	-7.401507e-01	1.565830e-03	5.161685e-03	5.161685e-03	1.000000e+00	-1.005162e+00
8.771426777507753e-02	-6.975233e-01	1.570528e-03	4.458820e-03	4.458820e-03	1.000000e+00	-1.004459e+00
8.869083027507753e-02	-6.522706e-01	1.574560e-03	3.798822e-03	3.798822e-03	1.000000e+00	-1.003799e+00
8.966739277507753e-02	-6.045628e-01	1.577969e-03	3.184169e-03	3.184169e-03	1.000000e+00	-1.003184e+00
9.064395527507753e-02	-5.545796e-01	1.580802e-03	2.617168e-03	2.617168e-03	1.000000e+00	-1.002617e+00
9.162051777507753e-02	-5.025091e-01	1.583105e-03	2.099950e-03	2.099950e-03	1.000000e+00	-1.002100e+00
9.259708027507753e-02	-4.485472e-01	1.584929e-03	1.634456e-03	1.634456e-03	1.000000e+00	-1.001634e+00
9.357364277507753e-02	-3.928971e-01	1.586324e-03	1.222431e-03	1.222431e-03	1.000000e+00	-1.001222e+00
9.455020527507753e-02	-3.357683e-01	1.587343e-03	8.654213e-04	8.654213e-04	1.000000e+00	-1.000865e+00
9.552676777507753e-02	-2.773756e-01	1.588041e-03	5.647652e-04	5.647652e-04	1.000000e+00	-1.000565e+00
9.650333027507753e-02	-2.179390e-01	1.588474e-03	3.215884e-04	3.215884e-04	1.000000e+00	-1.000322e+00
9.747989277507753e-02	-1.576822e-01	1.588698e-03	1.368007e-04	1.368007e-04	1.000000e+00	-1.000137e+00
9.845645527507753e-02	-9.683181e-02	1.588770e-03	1.109164e-05	1.109164e-05	1.000000e+00	-1.000011e+00
9.943301777507753e-02	-3.561701e-02	1.588749e-03	-5.507129e-05	-5.507129e-05	1.000000e+00	-9.999449e-01
1.004095802750775e-01	2.573185e-02	1.588692e-03	-6.144492e-05	-6.144492e-05	1.000000e+00	-9.999385e-01
1.013861427750775e-01	8.698385e-02	1.588658e-03	-8.011143e-06	-8.011143e-06	1.000000e+00	-9.999920e-01
1.023627052750775e-01	1.479085e-01	1.588705e-03	1.050230e-04	1.050230e-04	1.000000e+00	-1.000105e+00
1.033392677750775e-01	2.082764e-01	1.588892e-03	2.772260e-04	2.772260e-04	1.000000e+00	-1.000277e+00
1.043158302750775e-01	2.678604e-01	1.589275e-03	5.079437e-04	5.079437e-04	1.000000e+00	-1.000508e+00
1.052923927750775e-01	3.264363e-01	1.589912e-03	7.963016e-04	7.963016e-04	1.000000e+00	-1.000796e+00
1.062689552750775e-01	3.837835e-01	1.590858e-03	1.141208e-03	1.141208e-03	1.000000e+00	-1.001141e+00
1.072455177750775e-01	4.396862e-01	1.592168e-03	1.541359e-03	1.541359e-03	1.000000e+00	-1.001541e+00
1.082220802750775e-01	4.939341e-01	1.593895e-03	1.995242e-03	1.995242e-03	1.000000e+00	-1.001995e+00
1.091986427750775e-01	5.463229e-01	1.596090e-03	2.501142e-03	2.501142e-03	1.000000e+00	-1.002501e+00
1.101752052750775e-01	5.966555e-01	1.598804e-03	3.057149e-03	3.057149e-03	1.000000e+00	-1.003057e+00
1.111517677750775e-01	6.447424e-01	1.602085e-03	3.661164e-03	3.661164e-03	1.000000e+00	-1.003661e+00
