time	V(n002)	I(L1)	I(I1)	I(V1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-1.000000e+00
1.185831805929882e-04	7.451377e-03	5.530286e-07	1.000000e+00	-1.000001e+00
2.371663611859764e-04	1.490144e-02	2.209315e-06	1.000000e+00	-1.000002e+00
3.557495417789647e-04	2.235018e-02	4.968858e-06	1.000000e+00	-1.000005e+00
4.743327223719529e-04	2.979760e-02	8.831660e-06	1.000000e+00	-1.000009e+00
5.929159029649412e-04	3.724371e-02	1.379772e-05	1.000000e+00	-1.000014e+00
7.114990835579293e-04	4.468850e-02	1.986703e-05	1.000000e+00	-1.000020e+00
8.300822641509173e-04	5.213197e-02	2.703961e-05	1.000000e+00	-1.000027e+00
1.660162861314429e-03	1.041221e-01	9.914351e-05	1.000000e+00	-1.000099e+00
2.636725361314429e-03	1.649135e-01	2.326232e-04	1.000000e+00	-1.000233e+00
3.613287861314429e-03	2.250843e-01	4.228724e-04	1.000000e+00	-1.000423e+00
4.589850361314429e-03	2.844079e-01	6.714133e-04	1.000000e+00	-1.000671e+00
5.566412861314429e-03	3.426611e-01	9.773105e-04	1.000000e+00	-1.000977e+00
6.542975361314429e-03	3.996246e-01	1.339412e-03	1.000000e+00	-1.001339e+00
7.519537861314429e-03	4.550840e-01	1.756356e-03	1.000000e+00	-1.001756e+00
8.496100361314429e-03	5.088305e-01	2.226573e-03	1.000000e+00	-1.002227e+00
9.472662861314429e-03	5.606619e-01	2.748292e-03	1.000000e+00	-1.002748e+00
1.044922536131443e-02	6.103832e-01	3.319551e-03	1.000000e+00	-1.003320e+00
1.142578786131443e-02	6.578070e-01	3.938198e-03	1.000000e+00	-1.003938e+00
1.240235036131443e-02	7.027550e-01	4.601906e-03	1.000000e+00	-1.004602e+00
1.337891286131443e-02	7.450581e-01	5.308175e-03	1.000000e+00	-1.005308e+00
1.435547536131443e-02	7.845569e-01	6.054349e-03	1.000000e+00	-1.006054e+00
1.630860036131443e-02	8.545582e-01	7.655036e-03	1.000000e+00	-1.007655e+00
1.826172536131443e-02	9.117062e-01	9.379888e-03	1.000000e+00	-1.009380e+00
2.021485036131443e-02	9.551413e-01	1.120296e-02	1.000000e+00	-1.011203e+00
2.216797536131443e-02	9.842102e-01	1.309684e-02	1.000000e+00	-1.013097e+00
2.412110036131443e-02	9.984756e-01	1.503303e-02	1.000000e+00	-1.015033e+00
2.607422536131443e-02	9.977230e-01	1.698241e-02	1.000000e+00	-1.016982e+00
2.802735036131443e-02	9.819638e-01	1.891567e-02	1.000000e+00	-1.018916e+00
2.998047536131443e-02	9.514349e-01	2.080372e-02	1.000000e+00	-1.020804e+00
3.193360036131443e-02	9.065955e-01	2.261816e-02	1.000000e+00	-1.022618e+00
3.388672536131443e-02	8.481202e-01	2.433170e-02	1.000000e+00	-1.024332e+00
3.583985036131443e-02	7.768882e-01	2.591858e-02	1.000000e+00	-1.025919e+00
3.779297536131443e-02	6.939712e-01	2.735491e-02	1.000000e+00	-1.027355e+00
3.974610036131443e-02	6.006162e-01	2.861910e-02	1.000000e+00	-1.028619e+00
4.169922536131443e-02	4.982273e-01	2.969214e-02	1.000000e+00	-1.029692e+00
4.365235036131443e-02	3.883447e-01	3.055787e-02	1.000000e+00	-1.030558e+00
4.560547536131443e-02	2.726209e-01	3.120329e-02	1.000000e+00	-1.031203e+00
