time	V(n001)	V(n002)	I(L2)	I(L1)	I(V1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.489828359601756e-05	4.706143e-03	2.353135e-03	1.102125e-07	1.102125e-07	-1.102125e-07
1.497965671920351e-04	9.411954e-03	4.705959e-03	4.406265e-07	4.406265e-07	-4.406265e-07
2.246948507880527e-04	1.411743e-02	7.058471e-03	9.912421e-07	9.912421e-07	-9.912421e-07
2.995931343840702e-04	1.882258e-02	9.410672e-03	1.762059e-06	1.762059e-06	-1.762059e-06
3.744914179800878e-04	2.352740e-02	1.176256e-02	2.753078e-06	2.753078e-06	-2.753078e-06
4.493897015761054e-04	2.823188e-02	1.411414e-02	3.964298e-06	3.964298e-06	-3.964298e-06
5.242879851721227e-04	3.293603e-02	1.646541e-02	5.395720e-06	5.395720e-06	-5.395720e-06
1.048575970344245e-03	6.583632e-02	3.289914e-02	2.127044e-05	2.127044e-05	-2.127044e-05
2.025138470344245e-03	1.269001e-01	6.339036e-02	7.174325e-05	7.174325e-05	-7.174325e-05
3.001700970344245e-03	1.874863e-01	9.365494e-02	1.484254e-04	1.484254e-04	-1.484254e-04
3.978263470344245e-03	2.473668e-01	1.235670e-01	2.544906e-04	2.544906e-04	-2.544906e-04
4.954825970344245e-03	3.063163e-01	1.530140e-01	3.895397e-04	3.895397e-04	-3.895397e-04
5.931388470344245e-03	3.641129e-01	1.818851e-01	5.530642e-04	5.530642e-04	-5.530642e-04
6.907950970344245e-03	4.205390e-01	2.100717e-01	7.444487e-04	7.444487e-04	-7.444487e-04
7.884513470344245e-03	4.753824e-01	2.374675e-01	9.629729e-04	9.629729e-04	-9.629729e-04
8.861075970344245e-03	5.284365e-01	2.639696e-01	1.207814e-03	1.207814e-03	-1.207814e-03
9.837638470344245e-03	5.795016e-01	2.894782e-01	1.478051e-03	1.478051e-03	-1.478051e-03
1.081420097034425e-02	6.283857e-01	3.138972e-01	1.772666e-03	1.772666e-03	-1.772666e-03
1.179076347034425e-02	6.749047e-01	3.371348e-01	2.090551e-03	2.090551e-03	-2.090551e-03
1.276732597034425e-02	7.188835e-01	3.591035e-01	2.430509e-03	2.430509e-03	-2.430509e-03
