time	V(n001)	V(n002)	I(C1)	I(R1)	I(V1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.766750526825223e-04	2.369014e-02	7.310352e-06	2.367327e-02	2.367327e-02	-2.367327e-02
7.533501053650447e-04	4.733660e-02	2.324985e-05	4.729003e-02	4.729003e-02	-4.729003e-02
1.130025158047567e-03	7.093936e-02	4.781849e-05	7.085026e-02	7.085026e-02	-7.085026e-02
1.506700210730089e-03	9.449844e-02	8.101627e-05	9.435397e-02	9.435397e-02	-9.435397e-02
1.883375263412612e-03	1.180138e-01	1.228432e-04	1.178012e-01	1.178012e-01	-1.178012e-01
2.260050316095134e-03	1.414855e-01	1.732993e-04	1.411918e-01	1.411918e-01	-1.411918e-01
2.636725368777655e-03	1.649135e-01	2.323845e-04	1.645260e-01	1.645260e-01	-1.645260e-01
3.613287868777655e-03	2.250843e-01	4.223143e-04	2.244502e-01	2.244502e-01	-2.244502e-01
4.589850368777655e-03	2.844079e-01	6.703222e-04	2.834700e-01	2.834700e-01	-2.834700e-01
5.566412868777655e-03	3.426611e-01	9.754166e-04	3.413633e-01	3.413633e-01	-3.413633e-01
6.542975368777655e-03	3.996246e-01	1.336391e-03	3.979121e-01	3.979121e-01	-3.979121e-01
7.519537868777655e-03	4.550840e-01	1.751828e-03	4.529039e-01	4.529039e-01	-4.529039e-01
8.496100368777655e-03	5.088305e-01	2.220107e-03	5.061316e-01	5.061316e-01	-5.061316e-01
9.472662868777655e-03	5.606619e-01	2.739408e-03	5.573950e-01	5.573950e-01	-5.573950e-01
1.044922536877766e-02	6.103832e-01	3.307716e-03	6.065011e-01	6.065011e-01	-6.065011e-01
1.142578786877766e-02	6.578070e-01	3.922836e-03	6.532652e-01	6.532652e-01	-6.532652e-01
1.337891286877766e-02	7.450581e-01	5.283853e-03	7.390732e-01	7.390732e-01	-7.390732e-01
1.533203786877766e-02	8.211027e-01	6.801524e-03	8.135287e-01	8.135287e-01	-8.135287e-01
1.728516286877765e-02	8.847973e-01	8.452561e-03	8.755122e-01	8.755122e-01	-8.755122e-01
1.923828786877765e-02	9.351836e-01	1.021167e-02	9.240921e-01	9.240921e-01	-9.240921e-01
2.119141286877765e-02	9.715040e-01	1.205194e-02	9.585379e-01	9.585379e-01	-9.585379e-01
2.314453786877765e-02	9.932120e-01	1.394523e-02	9.783322e-01	9.783322e-01	-9.783322e-01
2.509766286877765e-02	9.999812e-01	1.586260e-02	9.831777e-01	9.831777e-01	-9.831777e-01
2.705078786877765e-02	9.917097e-01	1.777476e-02	9.730018e-01	9.730018e-01	-9.730018e-01
2.900391286877765e-02	9.685220e-01	1.965249e-02	9.479582e-01	9.479582e-01	-9.479582e-01
3.095703786877765e-02	9.307668e-01	2.146710e-02	9.084239e-01	9.084239e-01	-9.084239e-01
3.291016286877765e-02	8.790120e-01	2.319084e-02	8.549941e-01	8.549941e-01	-8.549941e-01
3.486328786877765e-02	8.140361e-01	2.479733e-02	7.884728e-01	7.884728e-01	-7.884728e-01
3.681641286877765e-02	7.368163e-01	2.626196e-02	7.098610e-01	7.098610e-01	-7.098610e-01
3.876953786877765e-02	6.485141e-01	2.756224e-02	6.203417e-01	6.203417e-01	-6.203417e-01
4.072266286877765e-02	5.504576e-01	2.867816e-02	5.212615e-01	5.212615e-01	-5.212615e-01
4.267578786877765e-02	4.441218e-01	2.959250e-02	4.141114e-01	4.141114e-01	-4.141114e-01
4.462891286877765e-02	3.311059e-01	3.029105e-02	3.005033e-01	3.005033e-01	-3.005033e-01
4.658203786877765e-02	2.131099e-01	3.076286e-02	1.821465e-01	1.821465e-01	-1.821465e-01
4.853516286877765e-02	9.190854e-02	3.100039e-02	6.082167e-02	6.082167e-02	-6.082167e-02
4.951172536877765e-02	3.067439e-02	3.102990e-02	-3.843751e-04	-3.843751e-04	3.843751e-04
5.146485036877765e-02	-9.190937e-02	3.090958e-02	-1.227325e-01	-1.227325e-01	1.227325e-01
5.341797536877765e-02	-2.131107e-01	3.055166e-02	-2.434619e-01	-2.434619e-01	2.434619e-01
5.537110036877765e-02	-3.311067e-01	2.996108e-02	-3.607562e-01	-3.607562e-01	3.607562e-01
5.732422536877765e-02	-4.441225e-01	2.914627e-02	-4.728509e-01	-4.728509e-01	4.728509e-01
5.927735036877765e-02	-5.504583e-01	2.811905e-02	-5.780594e-01	-5.780594e-01	5.780594e-01
6.123047536877765e-02	-6.485147e-01	2.689443e-02	-6.747990e-01	-6.747990e-01	6.747990e-01
6.318360036877765e-02	-7.368168e-01	2.549039e-02	-7.616140e-01	-7.616140e-01	7.616140e-01
6.513672536877765e-02	-8.140365e-01	2.392760e-02	-8.371982e-01	-8.371982e-01	8.371982e-01
6.708985036877765e-02	-8.790124e-01	2.222914e-02	-9.004145e-01	-9.004145e-01	9.004145e-01
6.904297536877765e-02	-9.307671e-01	2.042012e-02	-9.503114e-01	-9.503114e-01	9.503114e-01
7.099610036877765e-02	-9.685222e-01	1.852730e-02	-9.861382e-01	-9.861382e-01	9.861382e-01
7.294922536877765e-02	-9.917098e-01	1.657872e-02	-1.007355e+00	-1.007355e+00	1.007355e+00
7.490235036877765e-02	-9.999812e-01	1.460325e-02	-1.013644e+00	-1.013644e+00	1.013644e+00
7.685547536877765e-02	-9.932119e-01	1.263018e-02	-1.004907e+00	-1.004907e+00	1.004907e+00
7.880860036877765e-02	-9.715038e-01	1.068874e-02	-9.812784e-01	-9.812784e-01	9.812784e-01
8.076172536877765e-02	-9.351833e-01	8.807712e-03	-9.431111e-01	-9.431111e-01	9.431111e-01
8.271485036877765e-02	-8.847969e-01	7.014947e-03	-8.909793e-01	-8.909793e-01	8.909793e-01
8.466797536877765e-02	-8.211023e-01	5.336981e-03	-8.256667e-01	-8.256667e-01	8.256667e-01
8.662110036877765e-02	-7.450575e-01	3.798624e-03	-7.481551e-01	-7.481551e-01	7.481551e-01
8.759766286877765e-02	-7.027544e-01	3.088987e-03	-7.051822e-01	-7.051822e-01	7.051822e-01
8.857422536877765e-02	-6.578064e-01	2.422584e-03	-6.596100e-01	-6.596100e-01	6.596100e-01
8.955078786877765e-02	-6.103825e-01	1.801871e-03	-6.116101e-01	-6.116101e-01	6.116101e-01
9.052735036877765e-02	-5.606613e-01	1.229131e-03	-5.613628e-01	-5.613628e-01	5.613628e-01
9.150391286877765e-02	-5.088298e-01	7.064646e-04	-5.090575e-01	-5.090575e-01	5.090575e-01
9.248047536877765e-02	-4.550832e-01	2.357867e-04	-4.548908e-01	-4.548908e-01	4.548908e-01
9.345703786877765e-02	-3.996238e-01	-1.811847e-04	-3.990666e-01	-3.990666e-01	3.990666e-01
9.443360036877765e-02	-3.426603e-01	-5.429335e-04	-3.417950e-01	-3.417950e-01	3.417950e-01
9.541016286877765e-02	-2.844071e-01	-8.481514e-04	-2.832914e-01	-2.832914e-01	2.832914e-01
9.638672536877765e-02	-2.250835e-01	-1.095743e-03	-2.237760e-01	-2.237760e-01	2.237760e-01
9.736328786877765e-02	-1.649127e-01	-1.284829e-03	-1.634727e-01	-1.634727e-01	1.634727e-01
9.833985036877765e-02	-1.041212e-01	-1.414752e-03	-1.026085e-01	-1.026085e-01	1.026085e-01
9.931641286877765e-02	-4.293784e-02	-1.485074e-03	-4.141236e-02	-4.141236e-02	4.141236e-02
1.002929753687777e-01	1.840715e-02	-1.495586e-03	1.988541e-02	1.988541e-02	-1.988541e-02
1.012695378687777e-01	7.968285e-02	-1.446299e-03	8.105417e-02	8.105417e-02	-8.105417e-02
1.022461003687777e-01	1.406586e-01	-1.337452e-03	1.418637e-01	1.418637e-01	-1.418637e-01
1.032226628687777e-01	2.011050e-01	-1.169508e-03	2.020853e-01	2.020853e-01	-2.020853e-01
1.041992253687777e-01	2.607945e-01	-9.431519e-04	2.614923e-01	2.614923e-01	-2.614923e-01
1.051757878687777e-01	3.195024e-01	-6.592879e-04	3.198611e-01	3.198611e-01	-3.198611e-01
1.061523503687777e-01	3.770078e-01	-3.190374e-04	3.769721e-01	3.769721e-01	-3.769721e-01
1.071289128687777e-01	4.330942e-01	7.626662e-05	4.326104e-01	4.326104e-01	-4.326104e-01
1.081054753687777e-01	4.875505e-01	5.250836e-04	4.865667e-01	4.865667e-01	-4.865667e-01
1.090820378687777e-01	5.401718e-01	1.025672e-03	5.386379e-01	5.386379e-01	-5.386379e-01
1.100586003687777e-01	5.907601e-01	1.576095e-03	5.886281e-01	5.886281e-01	-5.886281e-01
1.110351628687777e-01	6.391248e-01	2.174228e-03	6.363491e-01	6.363491e-01	-6.363491e-01
1.120117253687777e-01	6.850840e-01	2.817768e-03	6.816216e-01	6.816216e-01	-6.816216e-01
1.129882878687777e-01	7.284647e-01	3.504241e-03	7.242750e-01	7.242750e-01	-7.242750e-01
1.149414128687777e-01	8.068478e-01	4.995289e-03	8.010933e-01	8.010933e-01	-8.010933e-01
1.168945378687777e-01	8.730952e-01	6.624528e-03	8.656491e-01	8.656491e-01	-8.656491e-01
1.188476628687777e-01	9.262104e-01	8.367036e-03	9.169718e-01	9.169718e-01	-9.169718e-01
1.208007878687777e-01	9.653946e-01	1.019619e-02	9.542900e-01	9.542900e-01	-9.542900e-01
1.227539128687777e-01	9.900582e-01	1.208406e-02	9.770426e-01	9.770426e-01	-9.770426e-01
1.247070378687777e-01	9.998306e-01	1.400184e-02	9.848880e-01	9.848880e-01	-9.848880e-01
1.266601628687777e-01	9.945645e-01	1.592027e-02	9.777085e-01	9.777085e-01	-9.777085e-01
