time	V(n001)	V(n002)	I(L1)	I(R1)	I(V1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.185831811266668e-04	7.451377e-03	7.451327e-03	5.533212e-07	5.533212e-07	-5.533212e-07
2.371663622533336e-04	1.490144e-02	1.489908e-02	2.209230e-06	2.209230e-06	-2.209230e-06
3.557495433800004e-04	2.235018e-02	2.234326e-02	4.967727e-06	4.967727e-06	-4.967727e-06
4.743327245066672e-04	2.979760e-02	2.978387e-02	8.828811e-06	8.828811e-06	-8.828811e-06
5.929159056333340e-04	3.724371e-02	3.722091e-02	1.379248e-05	1.379248e-05	-1.379248e-05
7.114990867600008e-04	4.468850e-02	4.465437e-02	1.985874e-05	1.985874e-05	-1.985874e-05
8.300822678866673e-04	5.213197e-02	5.208426e-02	2.702759e-05	2.702759e-05	-2.702759e-05
1.660162868785958e-03	1.041221e-01	1.039373e-01	9.907025e-05	9.907025e-05	-9.907025e-05
2.636725368785958e-03	1.649135e-01	1.645260e-01	2.323842e-04	2.323842e-04	-2.323842e-04
3.613287868785958e-03	2.250843e-01	2.244502e-01	4.223137e-04	4.223137e-04	-4.223137e-04
4.589850368785958e-03	2.844079e-01	2.834700e-01	6.703211e-04	6.703211e-04	-6.703211e-04
5.566412868785958e-03	3.426611e-01	3.413633e-01	9.754146e-04	9.754146e-04	-9.754146e-04
6.542975368785958e-03	3.996246e-01	3.979122e-01	1.336388e-03	1.336388e-03	-1.336388e-03
7.519537868785958e-03	4.550840e-01	4.529039e-01	1.751824e-03	1.751824e-03	-1.751824e-03
8.496100368785958e-03	5.088305e-01	5.061316e-01	2.220101e-03	2.220101e-03	-2.220101e-03
9.472662868785958e-03	5.606619e-01	5.573950e-01	2.739399e-03	2.739399e-03	-2.739399e-03
1.044922536878596e-02	6.103832e-01	6.065011e-01	3.307704e-03	3.307704e-03	-3.307704e-03
1.142578786878596e-02	6.578070e-01	6.532652e-01	3.922821e-03	3.922821e-03	-3.922821e-03
1.240235036878596e-02	7.027550e-01	6.975114e-01	4.582376e-03	4.582376e-03	-4.582376e-03
1.337891286878596e-02	7.450581e-01	7.390732e-01	5.283828e-03	5.283828e-03	-5.283828e-03
1.435547536878596e-02	7.845569e-01	7.777941e-01	6.024481e-03	6.024481e-03	-6.024481e-03
1.630860036878596e-02	8.545582e-01	8.461422e-01	7.611867e-03	7.611867e-03	-7.611867e-03
1.826172536878596e-02	9.117062e-01	9.015281e-01	9.320198e-03	9.320198e-03	-9.320198e-03
2.021485036878596e-02	9.551413e-01	9.431192e-01	1.112332e-02	1.112332e-02	-1.112332e-02
2.216797536878596e-02	9.842102e-01	9.702904e-01	1.299365e-02	1.299365e-02	-1.299365e-02
2.412110036878596e-02	9.984756e-01	9.826335e-01	1.490260e-02	1.490260e-02	-1.490260e-02
2.607422536878596e-02	9.977230e-01	9.799632e-01	1.682100e-02	1.682100e-02	-1.682100e-02
2.802735036878596e-02	9.819638e-01	9.623203e-01	1.871955e-02	1.871955e-02	-1.871955e-02
2.998047536878596e-02	9.514349e-01	9.299704e-01	2.056922e-02	2.056922e-02	-2.056922e-02
3.193360036878596e-02	9.065955e-01	8.834007e-01	2.234174e-02	2.234174e-02	-2.234174e-02
3.388672536878596e-02	8.481202e-01	8.233121e-01	2.401001e-02	2.401001e-02	-2.401001e-02
3.583985036878596e-02	7.768882e-01	7.506087e-01	2.554847e-02	2.554847e-02	-2.554847e-02
3.779297536878596e-02	6.939712e-01	6.663846e-01	2.693354e-02	2.693354e-02	-2.693354e-02
3.974610036878596e-02	6.006162e-01	5.719070e-01	2.814392e-02	2.814392e-02	-2.814392e-02
4.169922536878596e-02	4.982273e-01	4.685975e-01	2.916097e-02	2.916097e-02	-2.916097e-02
4.365235036878596e-02	3.883447e-01	3.580103e-01	2.996893e-02	2.996893e-02	-2.996893e-02
4.560547536878596e-02	2.726209e-01	2.418092e-01	3.055521e-02	3.055521e-02	-3.055521e-02
4.755860036878596e-02	1.527968e-01	1.217425e-01	3.091055e-02	3.091055e-02	-3.091055e-02
4.951172536878596e-02	3.067439e-02	-3.836173e-04	3.102914e-02	3.102914e-02	-3.102914e-02
5.146485036878596e-02	-9.190937e-02	-1.227317e-01	3.090877e-02	3.090877e-02	-3.090877e-02
5.341797536878596e-02	-2.131107e-01	-2.434610e-01	3.055079e-02	3.055079e-02	-3.055079e-02
5.537110036878596e-02	-3.311067e-01	-3.607553e-01	2.996014e-02	2.996014e-02	-2.996014e-02
5.732422536878596e-02	-4.441225e-01	-4.728499e-01	2.914528e-02	2.914528e-02	-2.914528e-02
5.927735036878596e-02	-5.504583e-01	-5.780584e-01	2.811801e-02	2.811801e-02	-2.811801e-02
6.123047536878596e-02	-6.485147e-01	-6.747978e-01	2.689333e-02	2.689333e-02	-2.689333e-02
6.318360036878595e-02	-7.368168e-01	-7.616128e-01	2.548924e-02	2.548924e-02	-2.548924e-02
6.513672536878595e-02	-8.140365e-01	-8.371971e-01	2.392641e-02	2.392641e-02	-2.392641e-02
6.708985036878595e-02	-8.790124e-01	-9.004132e-01	2.222791e-02	2.222791e-02	-2.222791e-02
6.904297536878595e-02	-9.307671e-01	-9.503101e-01	2.041885e-02	2.041885e-02	-2.041885e-02
7.099610036878595e-02	-9.685222e-01	-9.861369e-01	1.852599e-02	1.852599e-02	-1.852599e-02
7.294922536878595e-02	-9.917098e-01	-1.007354e+00	1.657738e-02	1.657738e-02	-1.657738e-02
7.490235036878595e-02	-9.999812e-01	-1.013642e+00	1.460189e-02	1.460189e-02	-1.460189e-02
7.685547536878595e-02	-9.932119e-01	-1.004906e+00	1.262879e-02	1.262879e-02	-1.262879e-02
7.880860036878595e-02	-9.715038e-01	-9.812770e-01	1.068733e-02	1.068733e-02	-1.068733e-02
8.076172536878595e-02	-9.351833e-01	-9.431097e-01	8.806286e-03	8.806286e-03	-8.806286e-03
8.271485036878595e-02	-8.847969e-01	-8.909779e-01	7.013508e-03	7.013508e-03	-7.013508e-03
8.369141286878595e-02	-8.545578e-01	-8.599123e-01	6.158575e-03	6.158575e-03	-6.158575e-03
8.466797536878595e-02	-8.211023e-01	-8.256652e-01	5.335534e-03	5.335534e-03	-5.335534e-03
8.564453786878595e-02	-7.845563e-01	-7.883655e-01	4.547428e-03	4.547428e-03	-4.547428e-03
8.662110036878595e-02	-7.450575e-01	-7.481536e-01	3.797170e-03	3.797170e-03	-3.797170e-03
8.759766286878595e-02	-7.027544e-01	-7.051808e-01	3.087531e-03	3.087531e-03	-3.087531e-03
8.857422536878595e-02	-6.578064e-01	-6.596085e-01	2.421127e-03	2.421127e-03	-2.421127e-03
8.955078786878595e-02	-6.103825e-01	-6.116086e-01	1.800414e-03	1.800414e-03	-1.800414e-03
9.052735036878595e-02	-5.606613e-01	-5.613613e-01	1.227673e-03	1.227673e-03	-1.227673e-03
9.150391286878595e-02	-5.088298e-01	-5.090560e-01	7.050074e-04	7.050074e-04	-7.050074e-04
9.248047536878595e-02	-4.550832e-01	-4.548894e-01	2.343305e-04	2.343305e-04	-2.343305e-04
