time	V(n001)	I(R1)	I(V1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.288144243348923e-04	2.697828e-02	2.696308e-02	-2.696308e-02
8.576288486697847e-04	5.389171e-02	5.385799e-02	-5.385799e-02
1.286443273004677e-03	8.074031e-02	8.068472e-02	-8.068472e-02
1.715257697339569e-03	1.075241e-01	1.074433e-01	-1.074433e-01
2.144072121674462e-03	1.342430e-01	1.341337e-01	-1.341337e-01
2.572886546009354e-03	1.608971e-01	1.607559e-01	-1.607559e-01
3.001700970344245e-03	1.874863e-01	1.873099e-01	-1.873099e-01
4.954825970344245e-03	3.063163e-01	3.060281e-01	-3.060281e-01
6.907950970344245e-03	4.205390e-01	4.201433e-01	-4.201433e-01
8.861075970344245e-03	5.284365e-01	5.279393e-01	-5.279393e-01
1.081420097034425e-02	6.283857e-01	6.277944e-01	-6.277944e-01
1.276732597034425e-02	7.188835e-01	7.182070e-01	-7.182070e-01
1.472045097034425e-02	7.985685e-01	7.978171e-01	-7.978171e-01
1.667357597034425e-02	8.662424e-01	8.654273e-01	-8.654273e-01
1.862670097034425e-02	9.208872e-01	9.200207e-01	-9.200207e-01
2.057982597034425e-02	9.616809e-01	9.607760e-01	-9.607760e-01
2.253295097034425e-02	9.880101e-01	9.870805e-01	-9.870805e-01
2.448607597034425e-02	9.994787e-01	9.985383e-01	-9.985383e-01
2.643920097034425e-02	9.959142e-01	9.949771e-01	-9.949771e-01
2.839232597034425e-02	9.773703e-01	9.764506e-01	-9.764506e-01
3.034545097034425e-02	9.441257e-01	9.432373e-01	-9.432373e-01
3.229857597034425e-02	8.966807e-01	8.958369e-01	-8.958369e-01
3.425170097034425e-02	8.357487e-01	8.349622e-01	-8.349622e-01
3.620482597034425e-02	7.622463e-01	7.615290e-01	-7.615290e-01
3.815795097034425e-02	6.772790e-01	6.766417e-01	-6.766417e-01
4.011107597034425e-02	5.821248e-01	5.815770e-01	-5.815770e-01
4.206420097034425e-02	4.782149e-01	4.777649e-01	-4.777649e-01
