time	V(n002)	V(n001)	V(n004)	I(C2)	I(C1)	I(V2)	I(V1)
0.000000000000000e+00	0.000000e+00	1.000000e+00	3.333333e-01	6.666666e-13	3.333333e-13	-6.666666e-13	-6.666666e-13
9.999999717180685e-10	6.283185e-08	1.000000e+00	3.333334e-01	2.356194e+01	2.356194e+01	-2.356194e+01	-2.356194e+01
1.999999943436137e-09	1.256637e-07	1.000000e+00	3.333334e-01	3.141593e+01	3.141593e+01	-3.141593e+01	-3.141593e+01
4.288161386205582e-04	2.697838e-02	1.026978e+00	3.468149e-01	3.139968e+01	3.139968e+01	-3.139968e+01	-3.139968e+01
8.576302772411729e-04	5.389180e-02	1.053892e+00	3.602624e-01	3.136140e+01	3.136140e+01	-3.136140e+01	-3.136140e+01
1.286444415861788e-03	8.074038e-02	1.080740e+00	3.736757e-01	3.130109e+01	3.130109e+01	-3.130109e+01	-3.130109e+01
1.715258554482402e-03	1.075241e-01	1.107524e+00	3.870550e-01	3.121874e+01	3.121874e+01	-3.121874e+01	-3.121874e+01
2.144072693103017e-03	1.342430e-01	1.134243e+00	4.004002e-01	3.111435e+01	3.111435e+01	-3.111435e+01	-3.111435e+01
2.572886831723632e-03	1.608971e-01	1.160897e+00	4.137113e-01	3.098793e+01	3.098793e+01	-3.098793e+01	-3.098793e+01
3.001700970344245e-03	1.874863e-01	1.187486e+00	4.269883e-01	3.083947e+01	3.083947e+01	-3.083947e+01	-3.083947e+01
4.954825970344245e-03	3.063163e-01	1.306316e+00	4.863474e-01	2.988700e+01	2.988700e+01	-2.988700e+01	-2.988700e+01
6.907950970344245e-03	4.205390e-01	1.420539e+00	5.434050e-01	2.848499e+01	2.848499e+01	-2.848499e+01	-2.848499e+01
8.861075970344245e-03	5.284365e-01	1.528436e+00	5.973030e-01	2.665454e+01	2.665454e+01	-2.665454e+01	-2.665454e+01
1.081420097034425e-02	6.283857e-01	1.628386e+00	6.472306e-01	2.442318e+01	2.442318e+01	-2.442318e+01	-2.442318e+01
1.276732597034425e-02	7.188835e-01	1.718884e+00	6.924368e-01	2.182447e+01	2.182447e+01	-2.182447e+01	-2.182447e+01
1.472045097034425e-02	7.985685e-01	1.798568e+00	7.322419e-01	1.889751e+01	1.889751e+01	-1.889751e+01	-1.889751e+01
1.667357597034425e-02	8.662424e-01	1.866242e+00	7.660470e-01	1.568630e+01	1.568630e+01	-1.568630e+01	-1.568630e+01
1.862670097034425e-02	9.208872e-01	1.920887e+00	7.933437e-01	1.223916e+01	1.223916e+01	-1.223916e+01	-1.223916e+01
2.057982597034425e-02	9.616809e-01	1.961681e+00	8.137214e-01	8.607937e+00	8.607937e+00	-8.607937e+00	-8.607937e+00
2.253295097034425e-02	9.880101e-01	1.988010e+00	8.268735e-01	4.847239e+00	4.847239e+00	-4.847239e+00	-4.847239e+00
2.448607597034425e-02	9.994787e-01	1.999479e+00	8.326024e-01	1.013633e+00	1.013633e+00	-1.013633e+00	-1.013633e+00
2.643920097034425e-02	9.959142e-01	1.995914e+00	8.308219e-01	-2.835219e+00	-2.835219e+00	2.835219e+00	2.835219e+00
