time	V(n002)	V(n001)	V(n003)	I(C1)	I(R1)	I(V2)	I(V1)
0.000000000000000e+00	0.000000e+00	1.000000e+00	1.000000e+00	1.000000e-12	1.000089e-12	-1.000089e-12	-1.000089e-12
9.999999717180685e-10	6.283185e-08	1.000000e+00	1.000000e+00	8.940722e-08	6.283285e-08	-6.283285e-08	-6.283285e-08
3.999999886872274e-09	2.513274e-07	1.000000e+00	1.000000e+00	1.788139e-07	2.513284e-07	-2.513284e-07	-2.513284e-07
7.999999773744548e-09	5.026548e-07	1.000000e+00	1.000000e+00	4.470348e-07	5.026558e-07	-5.026558e-07	-5.026558e-07
1.599999954748910e-08	1.005310e-06	1.000001e+00	1.000000e+00	9.983778e-07	1.005311e-06	-1.005311e-06	-1.005311e-06
4.288281386202188e-04	2.697914e-02	1.026979e+00	1.000009e+00	2.695450e-02	2.695450e-02	-2.695450e-02	-2.695450e-02
8.576402772408901e-04	5.389243e-02	1.053892e+00	1.000030e+00	5.382886e-02	5.382885e-02	-5.382885e-02	-5.382885e-02
1.286452415861561e-03	8.074088e-02	1.080741e+00	1.000061e+00	8.062406e-02	8.062405e-02	-8.062405e-02	-8.062405e-02
1.715264554482233e-03	1.075245e-01	1.107524e+00	1.000104e+00	1.073401e-01	1.073401e-01	-1.073401e-01	-1.073401e-01
2.144076693102904e-03	1.342433e-01	1.134243e+00	1.000157e+00	1.339770e-01	1.339770e-01	-1.339770e-01	-1.339770e-01
2.572888831723575e-03	1.608972e-01	1.160897e+00	1.000221e+00	1.605348e-01	1.605348e-01	-1.605348e-01	-1.605348e-01
3.001700970344245e-03	1.874863e-01	1.187486e+00	1.000296e+00	1.870134e-01	1.870134e-01	-1.870134e-01	-1.870134e-01
4.954825970344245e-03	3.063163e-01	1.306316e+00	1.000778e+00	3.052503e-01	3.052503e-01	-3.052503e-01	-3.052503e-01
6.907950970344245e-03	4.205390e-01	1.420539e+00	1.001485e+00	4.186580e-01	4.186580e-01	-4.186580e-01	-4.186580e-01
8.861075970344245e-03	5.284365e-01	1.528436e+00	1.002408e+00	5.255309e-01	5.255309e-01	-5.255309e-01	-5.255309e-01
1.081420097034425e-02	6.283857e-01	1.628386e+00	1.003532e+00	6.242622e-01	6.242622e-01	-6.242622e-01	-6.242622e-01
1.276732597034425e-02	7.188835e-01	1.718884e+00	1.004840e+00	7.133672e-01	7.133672e-01	-7.133672e-01	-7.133672e-01
1.472045097034425e-02	7.985685e-01	1.798568e+00	1.006311e+00	7.915063e-01	7.915063e-01	-7.915063e-01	-7.915063e-01
1.667357597034425e-02	8.662424e-01	1.866242e+00	1.007923e+00	8.575046e-01	8.575046e-01	-8.575046e-01	-8.575046e-01
1.862670097034425e-02	9.208872e-01	1.920887e+00	1.009651e+00	9.103698e-01	9.103698e-01	-9.103698e-01	-9.103698e-01
2.057982597034425e-02	9.616809e-01	1.961681e+00	1.011469e+00	9.493074e-01	9.493074e-01	-9.493074e-01	-9.493074e-01
2.253295097034425e-02	9.880101e-01	1.988010e+00	1.013348e+00	9.737321e-01	9.737321e-01	-9.737321e-01	-9.737321e-01
2.448607597034425e-02	9.994787e-01	1.999479e+00	1.015261e+00	9.832768e-01	9.832768e-01	-9.832768e-01	-9.832768e-01
2.643920097034425e-02	9.959142e-01	1.995914e+00	1.017178e+00	9.777988e-01	9.777988e-01	-9.777988e-01	-9.777988e-01
2.839232597034425e-02	9.773703e-01	1.977370e+00	1.019070e+00	9.573807e-01	9.573807e-01	-9.573807e-01	-9.573807e-01
3.034545097034425e-02	9.441257e-01	1.944126e+00	1.020907e+00	9.223300e-01	9.223300e-01	-9.223300e-01	-9.223300e-01
3.229857597034425e-02	8.966807e-01	1.896681e+00	1.022662e+00	8.731744e-01	8.731744e-01	-8.731744e-01	-8.731744e-01
3.425170097034425e-02	8.357487e-01	1.835749e+00	1.024308e+00	8.106539e-01	8.106539e-01	-8.106539e-01	-8.106539e-01
3.620482597034425e-02	7.622463e-01	1.762246e+00	1.025820e+00	7.357091e-01	7.357091e-01	-7.357091e-01	-7.357091e-01
3.815795097034425e-02	6.772790e-01	1.677279e+00	1.027174e+00	6.494677e-01	6.494677e-01	-6.494677e-01	-6.494677e-01
4.011107597034425e-02	5.821248e-01	1.582125e+00	1.028350e+00	5.532274e-01	5.532274e-01	-5.532274e-01	-5.532274e-01
4.206420097034425e-02	4.782149e-01	1.478215e+00	1.029329e+00	4.484361e-01	4.484361e-01	-4.484361e-01	-4.484361e-01
4.401732597034425e-02	3.671122e-01	1.367112e+00	1.030096e+00	3.366705e-01	3.366705e-01	-3.366705e-01	-3.366705e-01
4.597045097034425e-02	2.504877e-01	1.250488e+00	1.030640e+00	2.196120e-01	2.196120e-01	-2.196120e-01	-2.196120e-01
4.792357597034425e-02	1.300958e-01	1.130096e+00	1.030951e+00	9.902184e-02	9.902184e-02	-9.902184e-02	-9.902184e-02
4.890013847034425e-02	6.905135e-02	1.069051e+00	1.031018e+00	3.796797e-02	3.796797e-02	-3.796797e-02	-3.796797e-02
5.085326347034425e-02	-5.358645e-02	9.464136e-01	1.030973e+00	-8.450897e-02	-8.450897e-02	8.450897e-02	8.450897e-02
5.280638847034425e-02	-1.754182e-01	8.245817e-01	1.030689e+00	-2.059422e-01	-2.059422e-01	2.059422e-01	2.059422e-01
5.475951347034425e-02	-2.946116e-01	7.053884e-01	1.030171e+00	-3.245050e-01	-3.245050e-01	3.245050e-01	3.245050e-01
5.671263847034425e-02	-4.093737e-01	5.906263e-01	1.029425e+00	-4.384134e-01	-4.384134e-01	4.384134e-01	4.384134e-01
5.866576347034425e-02	-5.179785e-01	4.820215e-01	1.028463e+00	-5.459538e-01	-5.459538e-01	5.459538e-01	5.459538e-01
6.061888847034425e-02	-6.187924e-01	3.812076e-01	1.027298e+00	-6.455082e-01	-6.455082e-01	6.455082e-01	6.455082e-01
6.159545097034425e-02	-6.657986e-01	3.342014e-01	1.026645e+00	-6.918173e-01	-6.918173e-01	6.918173e-01	6.918173e-01
6.257201347034425e-02	-7.102990e-01	2.897010e-01	1.025948e+00	-7.355788e-01	-7.355788e-01	7.355788e-01	7.355788e-01
6.354857597034425e-02	-7.521260e-01	2.478740e-01	1.025210e+00	-7.766280e-01	-7.766280e-01	7.766280e-01	7.766280e-01
6.452513847034425e-02	-7.911221e-01	2.088779e-01	1.024433e+00	-8.148104e-01	-8.148104e-01	8.148104e-01	8.148104e-01
6.550170097034425e-02	-8.271406e-01	1.728594e-01	1.023620e+00	-8.499821e-01	-8.499821e-01	8.499821e-01	8.499821e-01
6.647826347034425e-02	-8.600460e-01	1.399540e-01	1.022774e+00	-8.820108e-01	-8.820108e-01	8.820108e-01	8.820108e-01
6.745482597034425e-02	-8.897144e-01	1.102857e-01	1.021899e+00	-9.107759e-01	-9.107759e-01	9.107759e-01	9.107759e-01
6.843138847034425e-02	-9.160340e-01	8.396599e-02	1.020997e+00	-9.361689e-01	-9.361689e-01	9.361689e-01	9.361689e-01
6.940795097034425e-02	-9.389059e-01	6.109409e-02	1.020072e+00	-9.580944e-01	-9.580944e-01	9.580944e-01	9.580944e-01
7.038451347034425e-02	-9.582440e-01	4.175600e-02	1.019127e+00	-9.764697e-01	-9.764697e-01	9.764697e-01	9.764697e-01
7.136107597034425e-02	-9.739755e-01	2.602453e-02	1.018167e+00	-9.912256e-01	-9.912256e-01	9.912256e-01	9.912256e-01
7.233763847034425e-02	-9.860411e-01	1.395889e-02	1.017193e+00	-1.002306e+00	-1.002306e+00	1.002306e+00	1.002306e+00
7.331420097034425e-02	-9.943955e-01	5.604479e-03	1.016211e+00	-1.009671e+00	-1.009671e+00	1.009671e+00	1.009671e+00
7.429076347034425e-02	-9.990072e-01	9.927504e-04	1.015223e+00	-1.013290e+00	-1.013290e+00	1.013290e+00	1.013290e+00
7.526732597034425e-02	-9.998589e-01	1.410593e-04	1.014233e+00	-1.013152e+00	-1.013152e+00	1.013152e+00	1.013152e+00
7.624388847034425e-02	-9.969474e-01	3.052612e-03	1.013246e+00	-1.009255e+00	-1.009255e+00	1.009255e+00	1.009255e+00
7.722045097034425e-02	-9.902835e-01	9.716448e-03	1.012264e+00	-1.001616e+00	-1.001616e+00	1.001616e+00	1.001616e+00
7.819701347034425e-02	-9.798925e-01	2.010749e-02	1.011292e+00	-9.902620e-01	-9.902620e-01	9.902620e-01	9.902620e-01
7.917357597034425e-02	-9.658134e-01	3.418662e-02	1.010332e+00	-9.752364e-01	-9.752364e-01	9.752364e-01	9.752364e-01
8.015013847034425e-02	-9.480991e-01	5.190086e-02	1.009389e+00	-9.565955e-01	-9.565955e-01	9.565955e-01	9.565955e-01
8.112670097034425e-02	-9.268165e-01	7.318353e-02	1.008465e+00	-9.344096e-01	-9.344096e-01	9.344096e-01	9.344096e-01
8.210326347034425e-02	-9.020455e-01	9.795453e-02	1.007565e+00	-9.087619e-01	-9.087619e-01	9.087619e-01	9.087619e-01
8.307982597034425e-02	-8.738794e-01	1.261206e-01	1.006692e+00	-8.797490e-01	-8.797490e-01	8.797490e-01	8.797490e-01
8.405638847034425e-02	-8.424242e-01	1.575758e-01	1.005849e+00	-8.474801e-01	-8.474801e-01	8.474801e-01	8.474801e-01
8.503295097034425e-02	-8.077983e-01	1.922017e-01	1.005038e+00	-8.120764e-01	-8.120764e-01	8.120764e-01	8.120764e-01
8.600951347034425e-02	-7.701321e-01	2.298679e-01	1.004264e+00	-7.736713e-01	-7.736713e-01	7.736713e-01	7.736713e-01
8.698607597034425e-02	-7.295672e-01	2.704328e-01	1.003529e+00	-7.324092e-01	-7.324092e-01	7.324092e-01	7.324092e-01
8.796263847034425e-02	-6.862565e-01	3.137435e-01	1.002835e+00	-6.884454e-01	-6.884454e-01	6.884454e-01	6.884454e-01
