time	V(n002)	V(n001)	V(n003)	I(L1)	I(R1)	I(V2)	I(V1)
0.000000000000000e+00	0.000000e+00	1.000000e+00	9.990010e-04	9.990010e-01	9.990010e-01	-9.990010e-01	-9.990010e-01
4.288144243348923e-04	2.697828e-02	1.026978e+00	2.795265e-02	9.990104e-01	9.990104e-01	-9.990104e-01	-9.990104e-01
8.576288486697847e-04	5.389171e-02	1.053892e+00	5.482714e-02	9.990308e-01	9.990308e-01	-9.990308e-01	-9.990308e-01
1.286443273004677e-03	8.074031e-02	1.080740e+00	8.162249e-02	9.990622e-01	9.990622e-01	-9.990622e-01	-9.990622e-01
1.715257697339569e-03	1.075241e-01	1.107524e+00	1.083387e-01	9.991046e-01	9.991046e-01	-9.991046e-01	-9.991046e-01
2.144072121674462e-03	1.342430e-01	1.134243e+00	1.349757e-01	9.991579e-01	9.991579e-01	-9.991579e-01	-9.991579e-01
2.572886546009354e-03	1.608971e-01	1.160897e+00	1.615336e-01	9.992222e-01	9.992222e-01	-9.992222e-01	-9.992222e-01
3.001700970344245e-03	1.874863e-01	1.187486e+00	1.880124e-01	9.992975e-01	9.992975e-01	-9.992975e-01	-9.992975e-01
4.954825970344245e-03	3.063163e-01	1.306316e+00	3.062494e-01	9.997787e-01	9.997787e-01	-9.997787e-01	-9.997787e-01
6.907950970344245e-03	4.205390e-01	1.420539e+00	4.196570e-01	1.000486e+00	1.000486e+00	-1.000486e+00	-1.000486e+00
8.861075970344245e-03	5.284365e-01	1.528436e+00	5.265299e-01	1.001409e+00	1.001409e+00	-1.001409e+00	-1.001409e+00
1.081420097034425e-02	6.283857e-01	1.628386e+00	6.252612e-01	1.002533e+00	1.002533e+00	-1.002533e+00	-1.002533e+00
1.276732597034425e-02	7.188835e-01	1.718884e+00	7.143663e-01	1.003841e+00	1.003841e+00	-1.003841e+00	-1.003841e+00
1.472045097034425e-02	7.985685e-01	1.798568e+00	7.925053e-01	1.005312e+00	1.005312e+00	-1.005312e+00	-1.005312e+00
1.667357597034425e-02	8.662424e-01	1.866242e+00	8.585036e-01	1.006924e+00	1.006924e+00	-1.006924e+00	-1.006924e+00
1.862670097034425e-02	9.208872e-01	1.920887e+00	9.113689e-01	1.008652e+00	1.008652e+00	-1.008652e+00	-1.008652e+00
2.057982597034425e-02	9.616809e-01	1.961681e+00	9.503065e-01	1.010470e+00	1.010470e+00	-1.010470e+00	-1.010470e+00
2.253295097034425e-02	9.880101e-01	1.988010e+00	9.747311e-01	1.012349e+00	1.012349e+00	-1.012349e+00	-1.012349e+00
2.448607597034425e-02	9.994787e-01	1.999479e+00	9.842760e-01	1.014262e+00	1.014262e+00	-1.014262e+00	-1.014262e+00
2.643920097034425e-02	9.959142e-01	1.995914e+00	9.787980e-01	1.016179e+00	1.016179e+00	-1.016179e+00	-1.016179e+00
2.839232597034425e-02	9.773703e-01	1.977370e+00	9.583799e-01	1.018071e+00	1.018071e+00	-1.018071e+00	-1.018071e+00
3.034545097034425e-02	9.441257e-01	1.944126e+00	9.233292e-01	1.019908e+00	1.019908e+00	-1.019908e+00	-1.019908e+00
3.229857597034425e-02	8.966807e-01	1.896681e+00	8.741738e-01	1.021663e+00	1.021663e+00	-1.021663e+00	-1.021663e+00
3.425170097034425e-02	8.357487e-01	1.835749e+00	8.116532e-01	1.023309e+00	1.023309e+00	-1.023309e+00	-1.023309e+00
3.620482597034425e-02	7.622463e-01	1.762246e+00	7.367084e-01	1.024821e+00	1.024821e+00	-1.024821e+00	-1.024821e+00
3.815795097034425e-02	6.772790e-01	1.677279e+00	6.504672e-01	1.026175e+00	1.026175e+00	-1.026175e+00	-1.026175e+00
4.011107597034425e-02	5.821248e-01	1.582125e+00	5.542269e-01	1.027350e+00	1.027350e+00	-1.027350e+00	-1.027350e+00
4.206420097034425e-02	4.782149e-01	1.478215e+00	4.494356e-01	1.028329e+00	1.028329e+00	-1.028329e+00	-1.028329e+00
4.401732597034425e-02	3.671122e-01	1.367112e+00	3.376701e-01	1.029097e+00	1.029097e+00	-1.029097e+00	-1.029097e+00
4.597045097034425e-02	2.504877e-01	1.250488e+00	2.206117e-01	1.029640e+00	1.029640e+00	-1.029640e+00	-1.029640e+00
4.792357597034425e-02	1.300958e-01	1.130096e+00	1.000215e-01	1.029952e+00	1.029952e+00	-1.029952e+00	-1.029952e+00
4.987670097034425e-02	7.747029e-03	1.007747e+00	-2.228607e-02	1.030026e+00	1.030026e+00	-1.030026e+00	-1.030026e+00
5.182982597034425e-02	-1.147182e-01	8.852817e-01	-1.444711e-01	1.029861e+00	1.029861e+00	-1.029861e+00	-1.029861e+00
5.378295097034425e-02	-2.354580e-01	7.645420e-01	-2.646953e-01	1.029459e+00	1.029459e+00	-1.029459e+00	-1.029459e+00
5.573607597034425e-02	-3.526563e-01	6.473437e-01	-3.811501e-01	1.028826e+00	1.028826e+00	-1.028826e+00	-1.028826e+00
5.768920097034425e-02	-4.645503e-01	5.354497e-01	-4.920833e-01	1.027970e+00	1.027970e+00	-1.027970e+00	-1.027970e+00
5.964232597034425e-02	-5.694571e-01	4.305429e-01	-5.958259e-01	1.026905e+00	1.026905e+00	-1.026905e+00	-1.026905e+00
6.061888847034425e-02	-6.187924e-01	3.812076e-01	-6.445081e-01	1.026298e+00	1.026298e+00	-1.026298e+00	-1.026298e+00
6.159545097034425e-02	-6.657986e-01	3.342014e-01	-6.908172e-01	1.025645e+00	1.025645e+00	-1.025645e+00	-1.025645e+00
6.257201347034425e-02	-7.102990e-01	2.897010e-01	-7.345787e-01	1.024948e+00	1.024948e+00	-1.024948e+00	-1.024948e+00
6.354857597034425e-02	-7.521260e-01	2.478740e-01	-7.756279e-01	1.024210e+00	1.024210e+00	-1.024210e+00	-1.024210e+00
6.452513847034425e-02	-7.911221e-01	2.088779e-01	-8.138102e-01	1.023432e+00	1.023432e+00	-1.023432e+00	-1.023432e+00
6.550170097034425e-02	-8.271406e-01	1.728594e-01	-8.489820e-01	1.022620e+00	1.022620e+00	-1.022620e+00	-1.022620e+00
