time	V(n012)	V(n003)	V(n004)	V(n008)	V(n007)	V(n001)	V(n005)	V(n006)	V(n009)	V(n015)	V(n010)	V(n016)	V(n013)	V(n017)	V(n018)	V(n002)	V(n014)	V(n011)	I(C5)	I(C4)	I(C3)	I(C2)	I(C1)	I(L4)	I(L3)	I(L2)	I(L1)	I(I1)	I(R14)	I(R13)	I(R12)	I(R11)	I(R10)	I(R9)	I(R8)	I(R7)	I(R6)	I(R5)	I(R4)	I(R3)	I(R2)	I(R1)	I(V2)	I(V1)
0.000000000000000e+00	1.000000e+01	1.000000e+01	6.666750e+00	1.333425e+01	2.333425e+01	3.333425e+01	3.333500e+00	2.499938e-04	8.334375e-01	3.333250e+00	8.333125e-05	-2.499938e-04	1.333325e+01	3.333250e+00	-3.333500e+00	-1.000017e+01	-6.666833e+00	3.333500e+00	2.499938e-16	1.000000e-15	-2.499812e-12	-8.331875e-13	-8.331875e-13	1.000000e+00	3.333250e-01	1.666625e-01	1.666625e-01	1.000000e+00	2.664535e-16	-3.333333e-01	-3.333333e-01	-6.666667e-01	3.333250e-01	-6.666750e-01	3.333250e-01	-2.499867e-12	1.000000e+00	3.333250e-01	3.333250e-01	-1.000000e+00	-1.000000e+00	-3.333250e-01	-3.333250e-01	-3.333250e-01
9.999999717180685e-10	1.000000e+01	1.000000e+01	6.666749e+00	1.333425e+01	2.333425e+01	3.333424e+01	3.333499e+00	2.488990e-04	8.334364e-01	3.333249e+00	8.184528e-05	-2.522344e-04	1.333325e+01	3.333248e+00	-3.333502e+00	-1.000017e+01	-6.666836e+00	3.333498e+00	-1.110238e-07	2.500000e-16	1.192087e-07	8.940676e-08	8.940676e-08	1.000000e+00	3.333250e-01	1.666625e-01	1.666625e-01	1.000000e+00	9.693271e-08	-3.333333e-01	-3.333333e-01	-6.666667e-01	3.333248e-01	-6.666750e-01	3.333250e-01	1.145879e-07	9.999998e-01	3.333250e-01	3.333251e-01	-1.000000e+00	-1.000000e+00	-3.333251e-01	-3.333251e-01	-3.333251e-01
1.999999943436137e-09	1.000000e+01	1.000000e+01	6.666749e+00	1.333424e+01	2.333424e+01	3.333424e+01	3.333498e+00	2.471519e-04	8.334346e-01	3.333247e+00	8.019197e-05	-2.537094e-04	1.333324e+01	3.333246e+00	-3.333504e+00	-1.000017e+01	-6.666837e+00	3.333496e+00	-2.960636e-07	0.000000e+00	2.384186e-07	1.192093e-07	1.192093e-07	1.000000e+00	3.333250e-01	1.666625e-01	1.666625e-01	1.000000e+00	1.218332e-07	-3.333333e-01	-3.333333e-01	-6.666667e-01	3.333246e-01	-6.666750e-01	3.333250e-01	8.738058e-08	9.999997e-01	3.333250e-01	3.333251e-01	-1.000000e+00	-1.000000e+00	-3.333251e-01	-3.333251e-01	-3.333251e-01
3.999999886872274e-09	1.000000e+01	1.000000e+01	6.666749e+00	1.333424e+01	2.333424e+01	3.333424e+01	3.333497e+00	2.453480e-04	8.334329e-01	3.333245e+00	7.868676e-05	-2.546357e-04	1.333324e+01	3.333245e+00	-3.333505e+00	-1.000017e+01	-6.666838e+00	3.333495e+00	-3.700794e-07	0.000000e+00	1.986821e-07	1.092752e-07	1.092752e-07	1.000000e+00	3.333250e-01	1.666625e-01	1.666625e-01	1.000000e+00	1.178172e-07	-3.333333e-01	-3.333333e-01	-6.666667e-01	3.333246e-01	-6.666750e-01	3.333250e-01	-3.875667e-10	9.999997e-01	3.333251e-01	3.333252e-01	-1.000000e+00	-1.000000e+00	-3.333252e-01	-3.333252e-01	-3.333252e-01
7.999999773744548e-09	1.000000e+01	1.000000e+01	6.666750e+00	1.333424e+01	2.333424e+01	3.333424e+01	3.333498e+00	2.470949e-04	8.334346e-01	3.333247e+00	8.032769e-05	-2.532066e-04	1.333324e+01	3.333247e+00	-3.333503e+00	-1.000017e+01	-6.666837e+00	3.333497e+00	-1.295266e-07	0.000000e+00	1.390775e-07	6.457170e-08	6.457170e-08	1.000000e+00	3.333250e-01	1.666625e-01	1.666625e-01	1.000000e+00	1.270842e-07	-3.333333e-01	-3.333333e-01	-6.666667e-01	3.333247e-01	-6.666750e-01	3.333250e-01	3.139896e-08	9.999998e-01	3.333251e-01	3.333252e-01	-1.000000e+00	-1.000000e+00	-3.333252e-01	-3.333252e-01	-3.333252e-01
1.599999954748910e-08	1.000000e+01	1.000000e+01	6.666753e+00	1.333425e+01	2.333425e+01	3.333425e+01	3.333502e+00	2.517415e-04	8.334392e-01	3.333252e+00	8.474639e-05	-2.492438e-04	1.333325e+01	3.333251e+00	-3.333499e+00	-1.000017e+01	-6.666832e+00	3.333501e+00	9.252168e-08	0.000000e+00	1.490116e-07	7.450581e-09	7.450581e-09	1.000000e+00	3.333250e-01	1.666625e-01	1.666625e-01	1.000000e+00	1.254460e-07	-3.333333e-01	-3.333333e-01	-6.666667e-01	3.333251e-01	-6.666750e-01	3.333250e-01	9.978057e-08	1.000000e+00	3.333250e-01	3.333251e-01	-1.000000e+00	-1.000000e+00	-3.333251e-01	-3.333251e-01	-3.333251e-01
3.199999909497819e-08	1.000000e+01	1.000001e+01	6.666758e+00	1.333425e+01	2.333426e+01	3.333426e+01	3.333505e+00	2.547661e-04	8.334423e-01	3.333255e+00	8.772632e-05	-2.463533e-04	1.333325e+01	3.333254e+00	-3.333496e+00	-1.000016e+01	-6.666830e+00	3.333504e+00	2.081670e-07	0.000000e+00	1.092752e-07	1.365940e-08	1.365940e-08	1.000000e+00	3.333250e-01	1.666625e-01	1.666625e-01	1.000000e+00	1.735334e-07	-3.333333e-01	-3.333333e-01	-6.666667e-01	3.333254e-01	-6.666750e-01	3.333250e-01	1.131968e-07	1.000000e+00	3.333251e-01	3.333252e-01	-1.000000e+00	-1.000000e+00	-3.333252e-01	-3.333252e-01	-3.333252e-01
6.399999818995639e-08	1.000000e+01	1.000002e+01	6.666764e+00	1.333426e+01	2.333426e+01	3.333426e+01	3.333509e+00	2.572768e-04	8.334448e-01	3.333257e+00	9.002933e-05	-2.444656e-04	1.333326e+01	3.333256e+00	-3.333494e+00	-1.000016e+01	-6.666828e+00	3.333506e+00	3.770128e-07	0.000000e+00	2.011657e-07	8.506080e-08	8.506080e-08	1.000000e+00	3.333250e-01	1.666625e-01	1.666625e-01	1.000000e+00	3.617585e-07	-3.333333e-01	-3.333333e-01	-6.666667e-01	3.333255e-01	-6.666750e-01	3.333250e-01	1.754904e-07	1.000000e+00	3.333252e-01	3.333255e-01	-1.000000e+00	-1.000000e+00	-3.333255e-01	-3.333255e-01	-3.333255e-01
1.279999963799128e-07	1.000000e+01	1.000004e+01	6.666779e+00	1.333426e+01	2.333426e+01	3.333426e+01	3.333518e+00	2.642724e-04	8.334517e-01	3.333264e+00	9.640653e-05	-2.393253e-04	1.333326e+01	3.333261e+00	-3.333489e+00	-1.000016e+01	-6.666822e+00	3.333511e+00	7.308965e-07	0.000000e+00	3.886720e-07	1.884376e-07	1.884376e-07	1.000000e+00	3.333250e-01	1.666625e-01	1.666625e-01	1.000000e+00	7.352906e-07	-3.333333e-01	-3.333333e-01	-6.666667e-01	3.333260e-01	-6.666750e-01	3.333250e-01	3.610254e-07	1.000000e+00	3.333254e-01	3.333261e-01	-1.000000e+00	-1.000000e+00	-3.333261e-01	-3.333261e-01	-3.333261e-01
2.559999927598255e-07	1.000000e+01	1.000008e+01	6.666809e+00	1.333427e+01	2.333427e+01	3.333427e+01	3.333536e+00	2.791233e-04	8.334666e-01	3.333279e+00	1.100303e-04	-2.281556e-04	1.333327e+01	3.333272e+00	-3.333478e+00	-1.000014e+01	-6.666811e+00	3.333522e+00	1.461793e-06	0.000000e+00	7.357448e-07	3.688037e-07	3.688037e-07	1.000000e+00	3.333250e-01	1.666625e-01	1.666625e-01	1.000000e+00	1.463386e-06	-3.333333e-01	-3.333333e-01	-6.666667e-01	3.333272e-01	-6.666750e-01	3.333250e-01	7.291317e-07	1.000000e+00	3.333257e-01	3.333272e-01	-1.000000e+00	-1.000000e+00	-3.333272e-01	-3.333272e-01	-3.333272e-01
2.047999942078604e-06	1.000000e+01	1.000064e+01	6.667218e+00	1.333443e+01	2.333442e+01	3.333443e+01	3.333792e+00	4.839473e-04	8.336715e-01	3.333484e+00	2.977901e-04	-7.452437e-05	1.333343e+01	3.333426e+00	-3.333324e+00	-9.999991e+00	-6.666658e+00	3.333675e+00	1.169832e-05	0.000000e+00	5.848784e-06	2.924547e-06	2.924547e-06	1.000000e+00	3.333250e-01	1.666625e-01	1.666625e-01	1.000000e+00	1.169800e-05	-3.333333e-01	-3.333333e-01	-6.666667e-01	3.333426e-01	-6.666750e-01	3.333250e-01	5.848517e-06	1.000000e+00	3.333308e-01	3.333426e-01	-1.000000e+00	-1.000000e+00	-3.333426e-01	-3.333426e-01	-3.333426e-01
4.305698528566740e-04	1.000000e+01	1.013544e+01	6.765196e+00	1.337117e+01	2.337117e+01	3.337117e+01	3.395025e+00	4.945873e-02	8.826460e-01	3.382458e+00	4.521530e-02	3.672847e-02	1.337017e+01	3.370170e+00	-3.296550e+00	-9.963217e+00	-6.629884e+00	3.370421e+00	2.460393e-03	3.226516e-13	1.228758e-03	6.143793e-04	6.143793e-04	1.000000e+00	3.333279e-01	1.666640e-01	1.666640e-01	1.000000e+00	2.460393e-03	-3.333333e-01	-3.333333e-01	-6.666667e-01	3.370171e-01	-6.666721e-01	3.333279e-01	1.228758e-03	1.000000e+00	3.345567e-01	3.370171e-01	-1.000000e+00	-1.000000e+00	-3.370171e-01	-3.370171e-01	-3.370171e-01
