time	V(n001)	V(n002)	I(C1)	I(R1)	I(V1)
0.000000000000000e+00	1.000000e+00	1.000000e+00	1.000000e-12	1.000089e-12	-1.000089e-12
7.314285507423590e-08	1.000000e+00	1.000000e+00	7.799251e-10	9.999978e-13	-1.000014e-12
1.462857101484718e-07	1.000000e+00	1.000000e+00	1.299161e-09	9.999089e-13	-9.999379e-13
2.194285652227077e-07	1.000000e+00	1.000000e+00	1.558707e-09	9.998221e-13	-9.998601e-13
2.925714202969436e-07	1.000000e+00	1.000000e+00	1.558564e-09	9.997376e-13	-9.997808e-13
3.657142753711795e-07	1.000000e+00	1.000000e+00	1.298732e-09	9.996551e-13	-9.997000e-13
4.388571304454154e-07	1.000000e+00	1.000000e+00	7.792108e-10	9.995749e-13	-9.996177e-13
5.119999855196511e-07	1.000000e+00	1.000000e+00	0.000000e+00	9.994968e-13	-9.995338e-13
9.795642009703442e-01	1.000000e+00	1.000000e+00	9.094947e-13	9.672263e-13	-9.672263e-13
9.990954509703442e-01	1.000000e+00	1.000000e+00	9.094947e-13	9.672263e-13	-9.672263e-13
1.000000000000000e+00	1.000000e+00	1.000000e+00	9.094947e-13	9.672263e-13	-9.672263e-13
