time	V(n002)	V(n003)	I(C1)	I(V2)	I(V1)
0.000000000000000e+00	0.000000e+00	1.000000e+00	1.000000e-12	-1.000000e-12	-1.000000e-12
9.999999717180685e-10	6.283185e-08	1.000000e+00	4.712389e+01	-4.712389e+01	-4.712389e+01
1.999999943436137e-09	1.256637e-07	1.000000e+00	6.283185e+01	-6.283185e+01	-6.283185e+01
4.288161386205582e-04	2.697838e-02	1.026978e+00	6.279936e+01	-6.279936e+01	-6.279936e+01
8.576302772411729e-04	5.389180e-02	1.053892e+00	6.272280e+01	-6.272280e+01	-6.272280e+01
1.286444415861788e-03	8.074038e-02	1.080740e+00	6.260217e+01	-6.260217e+01	-6.260217e+01
1.715258554482402e-03	1.075241e-01	1.107524e+00	6.243747e+01	-6.243747e+01	-6.243747e+01
2.144072693103017e-03	1.342430e-01	1.134243e+00	6.222870e+01	-6.222870e+01	-6.222870e+01
2.572886831723632e-03	1.608971e-01	1.160897e+00	6.197586e+01	-6.197586e+01	-6.197586e+01
3.001700970344245e-03	1.874863e-01	1.187486e+00	6.167895e+01	-6.167895e+01	-6.167895e+01
4.954825970344245e-03	3.063163e-01	1.306316e+00	5.977399e+01	-5.977399e+01	-5.977399e+01
6.907950970344245e-03	4.205390e-01	1.420539e+00	5.696997e+01	-5.696997e+01	-5.696997e+01
8.861075970344245e-03	5.284365e-01	1.528436e+00	5.330907e+01	-5.330907e+01	-5.330907e+01
1.081420097034425e-02	6.283857e-01	1.628386e+00	4.884636e+01	-4.884636e+01	-4.884636e+01
1.276732597034425e-02	7.188835e-01	1.718884e+00	4.364894e+01	-4.364894e+01	-4.364894e+01
1.472045097034425e-02	7.985685e-01	1.798568e+00	3.779501e+01	-3.779501e+01	-3.779501e+01
1.667357597034425e-02	8.662424e-01	1.866242e+00	3.137261e+01	-3.137261e+01	-3.137261e+01
1.862670097034425e-02	9.208872e-01	1.920887e+00	2.447833e+01	-2.447833e+01	-2.447833e+01
2.057982597034425e-02	9.616809e-01	1.961681e+00	1.721587e+01	-1.721587e+01	-1.721587e+01
2.253295097034425e-02	9.880101e-01	1.988010e+00	9.694477e+00	-9.694477e+00	-9.694477e+00
2.448607597034425e-02	9.994787e-01	1.999479e+00	2.027266e+00	-2.027266e+00	-2.027266e+00
2.643920097034425e-02	9.959142e-01	1.995914e+00	-5.670438e+00	5.670438e+00	5.670438e+00
2.839232597034425e-02	9.773703e-01	1.977370e+00	-1.328285e+01	1.328285e+01	1.328285e+01
3.034545097034425e-02	9.441257e-01	1.944126e+00	-2.069548e+01	2.069548e+01	2.069548e+01
3.229857597034425e-02	8.966807e-01	1.896681e+00	-2.779683e+01	2.779683e+01	2.779683e+01
3.425170097034425e-02	8.357487e-01	1.835749e+00	-3.448009e+01	3.448009e+01	3.448009e+01
3.620482597034425e-02	7.622463e-01	1.762246e+00	-4.064473e+01	4.064473e+01	4.064473e+01
