time	V(n002)	V(n001)	V(n003)	I(C1)	I(L1)	I(V2)	I(V1)
0.000000000000000e+00	0.000000e+00	1.000000e+00	1.000000e+00	1.000000e-12	1.110223e-12	-1.136868e-12	-1.136868e-12
4.571428442139744e-09	2.872313e-07	1.000000e+00	1.000000e+00	2.096519e-10	1.111082e-12	-1.121381e-12	-1.121381e-12
9.142856884279487e-09	5.744626e-07	1.000001e+00	1.000000e+00	7.034951e-10	1.113572e-12	-1.111705e-12	-1.111705e-12
1.371428532641923e-08	8.616940e-07	1.000001e+00	1.000000e+00	1.482530e-09	1.117694e-12	-1.107841e-12	-1.107841e-12
1.828571376855897e-08	1.148925e-06	1.000001e+00	1.000000e+00	2.546755e-09	1.123448e-12	-1.109788e-12	-1.109788e-12
2.285714221069872e-08	1.436157e-06	1.000001e+00	1.000000e+00	3.896173e-09	1.130834e-12	-1.117547e-12	-1.117547e-12
2.742857065283846e-08	1.723388e-06	1.000002e+00	1.000000e+00	5.530781e-09	1.139851e-12	-1.131118e-12	-1.131118e-12
3.199999909497819e-08	2.010619e-06	1.000002e+00	1.000000e+00	7.450581e-09	1.150500e-12	-1.150500e-12	-1.150500e-12
1.279999963799128e-07	8.042477e-06	1.000008e+00	1.000000e+00	-1.241763e-09	1.753692e-12	-1.753692e-12	-1.753692e-12
2.559999927598255e-07	1.608495e-05	1.000016e+00	1.000000e+00	6.208817e-10	3.683894e-12	-3.683894e-12	-3.683894e-12
7.511771216124026e-05	4.719930e-03	1.004720e+00	1.000000e+00	2.219390e-07	2.217187e-07	-2.217187e-07	-2.217187e-07
1.499794243297207e-04	9.423443e-03	1.009423e+00	1.000000e+00	8.833329e-07	8.834067e-07	-8.834067e-07	-8.834067e-07
2.248411364982011e-04	1.412662e-02	1.014127e+00	1.000000e+00	1.984803e-06	1.985068e-06	-1.985068e-06	-1.985068e-06
2.997028486666816e-04	1.882947e-02	1.018829e+00	1.000000e+00	3.526348e-06	3.526702e-06	-3.526702e-06	-3.526702e-06
3.745645608351620e-04	2.353199e-02	1.023532e+00	1.000000e+00	5.507970e-06	5.508308e-06	-5.508308e-06	-5.508308e-06
4.494262730036424e-04	2.823418e-02	1.028234e+00	1.000000e+00	7.929667e-06	7.929888e-06	-7.929888e-06	-7.929888e-06
5.242879851721227e-04	3.293603e-02	1.032936e+00	1.000000e+00	1.079144e-05	1.079144e-05	-1.079144e-05	-1.079144e-05
1.048575970344245e-03	6.583632e-02	1.065836e+00	1.000000e+00	4.254088e-05	4.254088e-05	-4.254088e-05	-4.254088e-05
2.025138470344245e-03	1.269001e-01	1.126900e+00	1.000000e+00	1.434864e-04	1.434864e-04	-1.434864e-04	-1.434864e-04
3.001700970344245e-03	1.874863e-01	1.187486e+00	1.000000e+00	2.968505e-04	2.968505e-04	-2.968505e-04	-2.968505e-04
3.978263470344245e-03	2.473668e-01	1.247367e+00	1.000001e+00	5.089804e-04	5.089804e-04	-5.089804e-04	-5.089804e-04
