time	V(n002)	V(n001)	V(n003)	I(L2)	I(L1)	I(V2)	I(V1)
0.000000000000000e+00	0.000000e+00	1.000000e+00	5.000000e-01	5.000000e+02	5.000000e+02	-5.000000e+02	-5.000000e+02
4.288144243348923e-04	2.697828e-02	1.026978e+00	5.134815e-01	5.000000e+02	5.000000e+02	-5.000000e+02	-5.000000e+02
8.576288486697847e-04	5.389171e-02	1.053892e+00	5.269290e-01	5.000000e+02	5.000000e+02	-5.000000e+02	-5.000000e+02
1.286443273004677e-03	8.074031e-02	1.080740e+00	5.403423e-01	5.000000e+02	5.000000e+02	-5.000000e+02	-5.000000e+02
1.715257697339569e-03	1.075241e-01	1.107524e+00	5.537216e-01	5.000000e+02	5.000000e+02	-5.000000e+02	-5.000000e+02
2.144072121674462e-03	1.342430e-01	1.134243e+00	5.670668e-01	5.000001e+02	5.000001e+02	-5.000001e+02	-5.000001e+02
2.572886546009354e-03	1.608971e-01	1.160897e+00	5.803779e-01	5.000001e+02	5.000001e+02	-5.000001e+02	-5.000001e+02
3.001700970344245e-03	1.874863e-01	1.187486e+00	5.936549e-01	5.000002e+02	5.000002e+02	-5.000002e+02	-5.000002e+02
4.954825970344245e-03	3.063163e-01	1.306316e+00	6.530140e-01	5.000004e+02	5.000004e+02	-5.000004e+02	-5.000004e+02
6.907950970344245e-03	4.205390e-01	1.420539e+00	7.100717e-01	5.000007e+02	5.000007e+02	-5.000007e+02	-5.000007e+02
8.861075970344245e-03	5.284365e-01	1.528436e+00	7.639696e-01	5.000012e+02	5.000012e+02	-5.000012e+02	-5.000012e+02
1.081420097034425e-02	6.283857e-01	1.628386e+00	8.138972e-01	5.000018e+02	5.000018e+02	-5.000018e+02	-5.000018e+02
1.276732597034425e-02	7.188835e-01	1.718884e+00	8.591036e-01	5.000024e+02	5.000024e+02	-5.000024e+02	-5.000024e+02
1.472045097034425e-02	7.985685e-01	1.798568e+00	8.989086e-01	5.000032e+02	5.000032e+02	-5.000032e+02	-5.000032e+02
1.667357597034425e-02	8.662424e-01	1.866242e+00	9.327136e-01	5.000040e+02	5.000040e+02	-5.000040e+02	-5.000040e+02
1.862670097034425e-02	9.208872e-01	1.920887e+00	9.600103e-01	5.000049e+02	5.000049e+02	-5.000049e+02	-5.000049e+02
2.057982597034425e-02	9.616809e-01	1.961681e+00	9.803880e-01	5.000058e+02	5.000058e+02	-5.000058e+02	-5.000058e+02
2.253295097034425e-02	9.880101e-01	1.988010e+00	9.935402e-01	5.000067e+02	5.000067e+02	-5.000067e+02	-5.000067e+02
2.448607597034425e-02	9.994787e-01	1.999479e+00	9.992691e-01	5.000077e+02	5.000077e+02	-5.000077e+02	-5.000077e+02
2.643920097034425e-02	9.959142e-01	1.995914e+00	9.974886e-01	5.000087e+02	5.000087e+02	-5.000087e+02	-5.000087e+02
2.839232597034425e-02	9.773703e-01	1.977370e+00	9.882253e-01	5.000096e+02	5.000096e+02	-5.000096e+02	-5.000096e+02
3.034545097034425e-02	9.441257e-01	1.944126e+00	9.716187e-01	5.000106e+02	5.000106e+02	-5.000106e+02	-5.000106e+02
3.229857597034425e-02	8.966807e-01	1.896681e+00	9.479184e-01	5.000115e+02	5.000115e+02	-5.000115e+02	-5.000115e+02
3.425170097034425e-02	8.357487e-01	1.835749e+00	9.174811e-01	5.000123e+02	5.000123e+02	-5.000123e+02	-5.000123e+02
3.620482597034425e-02	7.622463e-01	1.762246e+00	8.807645e-01	5.000131e+02	5.000131e+02	-5.000131e+02	-5.000131e+02
3.815795097034425e-02	6.772790e-01	1.677279e+00	8.383209e-01	5.000138e+02	5.000138e+02	-5.000138e+02	-5.000138e+02
4.011107597034425e-02	5.821248e-01	1.582125e+00	7.907885e-01	5.000144e+02	5.000144e+02	-5.000144e+02	-5.000144e+02
4.206420097034425e-02	4.782149e-01	1.478215e+00	7.388824e-01	5.000150e+02	5.000150e+02	-5.000150e+02	-5.000150e+02
4.401732597034425e-02	3.671122e-01	1.367112e+00	6.833833e-01	5.000154e+02	5.000154e+02	-5.000154e+02	-5.000154e+02
4.597045097034425e-02	2.504877e-01	1.250488e+00	6.251261e-01	5.000157e+02	5.000157e+02	-5.000157e+02	-5.000157e+02
4.792357597034425e-02	1.300958e-01	1.130096e+00	5.649867e-01	5.000158e+02	5.000158e+02	-5.000158e+02	-5.000158e+02
4.987670097034425e-02	7.747029e-03	1.007747e+00	5.038699e-01	5.000159e+02	5.000159e+02	-5.000159e+02	-5.000159e+02
5.182982597034425e-02	-1.147182e-01	8.852817e-01	4.426948e-01	5.000159e+02	5.000159e+02	-5.000159e+02	-5.000159e+02
5.378295097034425e-02	-2.354580e-01	7.645420e-01	3.823818e-01	5.000157e+02	5.000157e+02	-5.000157e+02	-5.000157e+02
5.573607597034425e-02	-3.526563e-01	6.473437e-01	3.238378e-01	5.000154e+02	5.000154e+02	-5.000154e+02	-5.000154e+02
5.768920097034425e-02	-4.645503e-01	5.354497e-01	2.679434e-01	5.000150e+02	5.000150e+02	-5.000150e+02	-5.000150e+02
5.964232597034425e-02	-5.694571e-01	4.305429e-01	2.155394e-01	5.000145e+02	5.000145e+02	-5.000145e+02	-5.000145e+02
6.061888847034425e-02	-6.187924e-01	3.812076e-01	1.908949e-01	5.000142e+02	5.000142e+02	-5.000142e+02	-5.000142e+02
6.159545097034425e-02	-6.657986e-01	3.342014e-01	1.674139e-01	5.000139e+02	5.000139e+02	-5.000139e+02	-5.000139e+02
6.257201347034425e-02	-7.102990e-01	2.897010e-01	1.451847e-01	5.000135e+02	5.000135e+02	-5.000135e+02	-5.000135e+02
6.354857597034425e-02	-7.521260e-01	2.478740e-01	1.242909e-01	5.000132e+02	5.000132e+02	-5.000132e+02	-5.000132e+02
6.452513847034425e-02	-7.911221e-01	2.088779e-01	1.048111e-01	5.000128e+02	5.000128e+02	-5.000128e+02	-5.000128e+02
6.550170097034425e-02	-8.271406e-01	1.728594e-01	8.681883e-02	5.000124e+02	5.000124e+02	-5.000124e+02	-5.000124e+02
6.647826347034425e-02	-8.600460e-01	1.399540e-01	7.038163e-02	5.000120e+02	5.000120e+02	-5.000120e+02	-5.000120e+02
6.745482597034425e-02	-8.897144e-01	1.102857e-01	5.556141e-02	5.000116e+02	5.000116e+02	-5.000116e+02	-5.000116e+02
6.843138847034425e-02	-9.160340e-01	8.396599e-02	4.241396e-02	5.000111e+02	5.000111e+02	-5.000111e+02	-5.000111e+02
6.940795097034425e-02	-9.389059e-01	6.109409e-02	3.098877e-02	5.000107e+02	5.000107e+02	-5.000107e+02	-5.000107e+02
