time	V(n002)	V(n001)	I(R1)	I(V2)	I(V1)
0.000000000000000e+00	0.000000e+00	1.000000e+00	1.000000e+00	-1.000000e+00	-1.000000e+00
4.288144243348923e-04	2.697828e-02	1.026978e+00	1.026963e+00	-1.026963e+00	-1.026963e+00
8.576288486697847e-04	5.389171e-02	1.053892e+00	1.053858e+00	-1.053858e+00	-1.053858e+00
1.286443273004677e-03	8.074031e-02	1.080740e+00	1.080685e+00	-1.080685e+00	-1.080685e+00
1.715257697339569e-03	1.075241e-01	1.107524e+00	1.107443e+00	-1.107443e+00	-1.107443e+00
2.144072121674462e-03	1.342430e-01	1.134243e+00	1.134134e+00	-1.134134e+00	-1.134134e+00
2.572886546009354e-03	1.608971e-01	1.160897e+00	1.160756e+00	-1.160756e+00	-1.160756e+00
3.001700970344245e-03	1.874863e-01	1.187486e+00	1.187310e+00	-1.187310e+00	-1.187310e+00
4.954825970344245e-03	3.063163e-01	1.306316e+00	1.306028e+00	-1.306028e+00	-1.306028e+00
6.907950970344245e-03	4.205390e-01	1.420539e+00	1.420143e+00	-1.420143e+00	-1.420143e+00
8.861075970344245e-03	5.284365e-01	1.528436e+00	1.527939e+00	-1.527939e+00	-1.527939e+00
1.081420097034425e-02	6.283857e-01	1.628386e+00	1.627794e+00	-1.627794e+00	-1.627794e+00
1.276732597034425e-02	7.188835e-01	1.718884e+00	1.718207e+00	-1.718207e+00	-1.718207e+00
1.472045097034425e-02	7.985685e-01	1.798568e+00	1.797817e+00	-1.797817e+00	-1.797817e+00
1.667357597034425e-02	8.662424e-01	1.866242e+00	1.865427e+00	-1.865427e+00	-1.865427e+00
1.862670097034425e-02	9.208872e-01	1.920887e+00	1.920021e+00	-1.920021e+00	-1.920021e+00
2.057982597034425e-02	9.616809e-01	1.961681e+00	1.960776e+00	-1.960776e+00	-1.960776e+00
2.253295097034425e-02	9.880101e-01	1.988010e+00	1.987080e+00	-1.987080e+00	-1.987080e+00
2.448607597034425e-02	9.994787e-01	1.999479e+00	1.998538e+00	-1.998538e+00	-1.998538e+00
2.643920097034425e-02	9.959142e-01	1.995914e+00	1.994977e+00	-1.994977e+00	-1.994977e+00
2.839232597034425e-02	9.773703e-01	1.977370e+00	1.976451e+00	-1.976451e+00	-1.976451e+00
3.034545097034425e-02	9.441257e-01	1.944126e+00	1.943237e+00	-1.943237e+00	-1.943237e+00
3.229857597034425e-02	8.966807e-01	1.896681e+00	1.895837e+00	-1.895837e+00	-1.895837e+00
3.425170097034425e-02	8.357487e-01	1.835749e+00	1.834962e+00	-1.834962e+00	-1.834962e+00
3.620482597034425e-02	7.622463e-01	1.762246e+00	1.761529e+00	-1.761529e+00	-1.761529e+00
3.815795097034425e-02	6.772790e-01	1.677279e+00	1.676642e+00	-1.676642e+00	-1.676642e+00
4.011107597034425e-02	5.821248e-01	1.582125e+00	1.581577e+00	-1.581577e+00	-1.581577e+00
4.206420097034425e-02	4.782149e-01	1.478215e+00	1.477765e+00	-1.477765e+00	-1.477765e+00
4.401732597034425e-02	3.671122e-01	1.367112e+00	1.366767e+00	-1.366767e+00	-1.366767e+00
4.597045097034425e-02	2.504877e-01	1.250488e+00	1.250252e+00	-1.250252e+00	-1.250252e+00
4.792357597034425e-02	1.300958e-01	1.130096e+00	1.129973e+00	-1.129973e+00	-1.129973e+00
4.987670097034425e-02	7.747029e-03	1.007747e+00	1.007740e+00	-1.007740e+00	-1.007740e+00
5.182982597034425e-02	-1.147182e-01	8.852817e-01	8.853897e-01	-8.853897e-01	-8.853897e-01
5.378295097034425e-02	-2.354580e-01	7.645420e-01	7.647635e-01	-7.647635e-01	-7.647635e-01
5.573607597034425e-02	-3.526563e-01	6.473437e-01	6.476755e-01	-6.476755e-01	-6.476755e-01
5.768920097034425e-02	-4.645503e-01	5.354497e-01	5.358868e-01	-5.358868e-01	-5.358868e-01
5.964232597034425e-02	-5.694571e-01	4.305429e-01	4.310788e-01	-4.310788e-01	-4.310788e-01
6.061888847034425e-02	-6.187924e-01	3.812076e-01	3.817899e-01	-3.817899e-01	-3.817899e-01
6.159545097034425e-02	-6.657986e-01	3.342014e-01	3.348278e-01	-3.348278e-01	-3.348278e-01
6.257201347034425e-02	-7.102990e-01	2.897010e-01	2.903693e-01	-2.903693e-01	-2.903693e-01
6.354857597034425e-02	-7.521260e-01	2.478740e-01	2.485817e-01	-2.485817e-01	-2.485817e-01
6.452513847034425e-02	-7.911221e-01	2.088779e-01	2.096223e-01	-2.096223e-01	-2.096223e-01
6.550170097034425e-02	-8.271406e-01	1.728594e-01	1.736377e-01	-1.736377e-01	-1.736377e-01
6.647826347034425e-02	-8.600460e-01	1.399540e-01	1.407633e-01	-1.407633e-01	-1.407633e-01
6.745482597034425e-02	-8.897144e-01	1.102857e-01	1.111228e-01	-1.111228e-01	-1.111228e-01
6.843138847034425e-02	-9.160340e-01	8.396599e-02	8.482793e-02	-8.482793e-02	-8.482793e-02
6.940795097034425e-02	-9.389059e-01	6.109409e-02	6.197754e-02	-6.197754e-02	-6.197754e-02
7.038451347034425e-02	-9.582440e-01	4.175600e-02	4.265765e-02	-4.265765e-02	-4.265765e-02
7.136107597034425e-02	-9.739755e-01	2.602453e-02	2.694099e-02	-2.694099e-02	-2.694099e-02
7.233763847034425e-02	-9.860411e-01	1.395889e-02	1.488670e-02	-1.488670e-02	-1.488670e-02
7.331420097034425e-02	-9.943955e-01	5.604479e-03	6.540149e-03	-6.540149e-03	-6.540149e-03
7.429076347034425e-02	-9.990072e-01	9.927504e-04	1.932760e-03	-1.932760e-03	-1.932760e-03
7.526732597034425e-02	-9.998589e-01	1.410593e-04	1.081870e-03	-1.081870e-03	-1.081870e-03
7.624388847034425e-02	-9.969474e-01	3.052612e-03	3.990683e-03	-3.990683e-03	-3.990683e-03
7.722045097034425e-02	-9.902835e-01	9.716448e-03	1.064825e-02	-1.064825e-02	-1.064825e-02
7.819701347034425e-02	-9.798925e-01	2.010749e-02	2.102951e-02	-2.102951e-02	-2.102951e-02
7.917357597034425e-02	-9.658134e-01	3.418662e-02	3.509540e-02	-3.509540e-02	-3.509540e-02
8.015013847034425e-02	-9.480991e-01	5.190086e-02	5.279297e-02	-5.279297e-02	-5.279297e-02
8.112670097034425e-02	-9.268165e-01	7.318353e-02	7.405561e-02	-7.405561e-02	-7.405561e-02
8.210326347034425e-02	-9.020455e-01	9.795453e-02	9.880330e-02	-9.880330e-02	-9.880330e-02
8.307982597034425e-02	-8.738794e-01	1.261206e-01	1.269429e-01	-1.269429e-01	-1.269429e-01
8.405638847034425e-02	-8.424242e-01	1.575758e-01	1.583685e-01	-1.583685e-01	-1.583685e-01
8.503295097034425e-02	-8.077983e-01	1.922017e-01	1.929618e-01	-1.929618e-01	-1.929618e-01
8.600951347034425e-02	-7.701321e-01	2.298679e-01	2.305926e-01	-2.305926e-01	-2.305926e-01
8.698607597034425e-02	-7.295672e-01	2.704328e-01	2.711192e-01	-2.711192e-01	-2.711192e-01
8.796263847034425e-02	-6.862565e-01	3.137435e-01	3.143893e-01	-3.143893e-01	-3.143893e-01
8.893920097034425e-02	-6.403628e-01	3.596372e-01	3.602398e-01	-3.602398e-01	-3.602398e-01
8.991576347034425e-02	-5.920589e-01	4.079411e-01	4.084982e-01	-4.084982e-01	-4.084982e-01
9.186888847034425e-02	-4.889562e-01	5.110437e-01	5.115038e-01	-5.115038e-01	-5.115038e-01
9.382201347034425e-02	-3.784992e-01	6.215008e-01	6.218569e-01	-6.218569e-01	-6.218569e-01
9.577513847034425e-02	-2.623492e-01	7.376508e-01	7.378976e-01	-7.378976e-01	-7.378976e-01
9.772826347034425e-02	-1.422532e-01	8.577468e-01	8.578807e-01	-8.578807e-01	-8.578807e-01
9.968138847034425e-02	-2.001762e-02	9.799824e-01	9.800012e-01	-9.800012e-01	-9.800012e-01
1.016345134703442e-01	1.025191e-01	1.102519e+00	1.102423e+00	-1.102423e+00	-1.102423e+00
1.035876384703442e-01	2.235138e-01	1.223514e+00	1.223303e+00	-1.223303e+00	-1.223303e+00
1.055407634703442e-01	3.411466e-01	1.341147e+00	1.340826e+00	-1.340826e+00	-1.340826e+00
1.074938884703442e-01	4.536483e-01	1.453648e+00	1.453221e+00	-1.453221e+00	-1.453221e+00
1.094470134703442e-01	5.593267e-01	1.559327e+00	1.558800e+00	-1.558800e+00	-1.558800e+00
1.114001384703442e-01	6.565923e-01	1.656592e+00	1.655975e+00	-1.655975e+00	-1.655975e+00
1.133532634703442e-01	7.439821e-01	1.743982e+00	1.743282e+00	-1.743282e+00	-1.743282e+00
1.153063884703442e-01	8.201818e-01	1.820182e+00	1.819410e+00	-1.819410e+00	-1.819410e+00
1.172595134703442e-01	8.840452e-01	1.884045e+00	1.883213e+00	-1.883213e+00	-1.883213e+00
1.192126384703442e-01	9.346117e-01	1.934612e+00	1.933732e+00	-1.933732e+00	-1.933732e+00
1.211657634703442e-01	9.711207e-01	1.971121e+00	1.970207e+00	-1.970207e+00	-1.970207e+00
1.231188884703442e-01	9.930233e-01	1.993023e+00	1.992089e+00	-1.992089e+00	-1.992089e+00
1.250720134703442e-01	9.999897e-01	1.999990e+00	1.999049e+00	-1.999049e+00	-1.999049e+00
1.270251384703442e-01	9.919155e-01	1.991915e+00	1.990982e+00	-1.990982e+00	-1.990982e+00
1.289782634703442e-01	9.689219e-01	1.968922e+00	1.968010e+00	-1.968010e+00	-1.968010e+00
1.309313884703442e-01	9.313548e-01	1.931355e+00	1.930479e+00	-1.930479e+00	-1.930479e+00
1.328845134703442e-01	8.797793e-01	1.879779e+00	1.878952e+00	-1.878952e+00	-1.878952e+00
1.348376384703442e-01	8.149711e-01	1.814971e+00	1.814204e+00	-1.814204e+00	-1.814204e+00
1.367907634703442e-01	7.379049e-01	1.737905e+00	1.737211e+00	-1.737211e+00	-1.737211e+00
1.387438884703442e-01	6.497400e-01	1.649740e+00	1.649129e+00	-1.649129e+00	-1.649129e+00
1.406970134703442e-01	5.518024e-01	1.551802e+00	1.551283e+00	-1.551283e+00	-1.551283e+00
1.426501384703442e-01	4.455651e-01	1.445565e+00	1.445146e+00	-1.445146e+00	-1.445146e+00
1.446032634703442e-01	3.326262e-01	1.332626e+00	1.332313e+00	-1.332313e+00	-1.332313e+00
1.465563884703442e-01	2.146842e-01	1.214684e+00	1.214482e+00	-1.214482e+00	-1.214482e+00
1.485095134703442e-01	9.351320e-02	1.093513e+00	1.093425e+00	-1.093425e+00	-1.093425e+00
1.514392009703442e-01	-9.030447e-02	9.096955e-01	9.097805e-01	-9.097805e-01	-9.097805e-01
1.533923259703442e-01	-2.115359e-01	7.884641e-01	7.886631e-01	-7.886631e-01	-7.886631e-01
1.553454509703442e-01	-3.295856e-01	6.704144e-01	6.707246e-01	-6.707246e-01	-6.707246e-01
1.572985759703442e-01	-4.426780e-01	5.573220e-01	5.577385e-01	-5.577385e-01	-5.577385e-01
1.592517009703442e-01	-5.491121e-01	4.508879e-01	4.514045e-01	-4.514045e-01	-4.514045e-01
1.602282634703442e-01	-5.993275e-01	4.006725e-01	4.012364e-01	-4.012364e-01	-4.012364e-01
1.612048259703442e-01	-6.472871e-01	3.527129e-01	3.533219e-01	-3.533219e-01	-3.533219e-01
1.621813884703442e-01	-6.928105e-01	3.071895e-01	3.078414e-01	-3.078414e-01	-3.078414e-01
1.631579509703442e-01	-7.357263e-01	2.642737e-01	2.649660e-01	-2.649660e-01	-2.649660e-01
1.641345134703442e-01	-7.758730e-01	2.241270e-01	2.248571e-01	-2.248571e-01	-2.248571e-01
1.651110759703442e-01	-8.130995e-01	1.869005e-01	1.876656e-01	-1.876656e-01	-1.876656e-01
1.660876384703442e-01	-8.472657e-01	1.527344e-01	1.535316e-01	-1.535316e-01	-1.535316e-01
1.670642009703442e-01	-8.782429e-01	1.217571e-01	1.225835e-01	-1.225835e-01	-1.225835e-01
1.680407634703442e-01	-9.059146e-01	9.408540e-02	9.493781e-02	-9.493781e-02	-9.493781e-02
1.690173259703442e-01	-9.301767e-01	6.982332e-02	7.069856e-02	-7.069856e-02	-7.069856e-02
1.699938884703442e-01	-9.509378e-01	4.906221e-02	4.995699e-02	-4.995699e-02	-4.995699e-02
1.709704509703442e-01	-9.681197e-01	3.188023e-02	3.279117e-02	-3.279117e-02	-3.279117e-02
1.719470134703442e-01	-9.816580e-01	1.834203e-02	1.926571e-02	-1.926571e-02	-1.926571e-02
1.729235759703442e-01	-9.915015e-01	8.498567e-03	9.431514e-03	-9.431514e-03	-9.431514e-03
1.739001384703442e-01	-9.976131e-01	2.386893e-03	3.325590e-03	-3.325590e-03	-3.325590e-03
1.748767009703442e-01	-9.999700e-01	3.000868e-05	9.709240e-04	-9.709240e-04	-9.709240e-04
1.758532634703442e-01	-9.985632e-01	1.436786e-03	2.376377e-03	-2.376377e-03	-2.376377e-03
1.768298259703442e-01	-9.933981e-01	6.601929e-03	7.536661e-03	-7.536661e-03	-7.536661e-03
1.778063884703442e-01	-9.844940e-01	1.550600e-02	1.643235e-02	-1.643235e-02	-1.643235e-02
1.787829509703442e-01	-9.718845e-01	2.811548e-02	2.902997e-02	-2.902997e-02	-2.902997e-02
1.797595134703442e-01	-9.556171e-01	4.438292e-02	4.528210e-02	-4.528210e-02	-4.528210e-02
1.807360759703442e-01	-9.357529e-01	6.424708e-02	6.512757e-02	-6.512757e-02	-6.512757e-02
1.817126384703442e-01	-9.123668e-01	8.763321e-02	8.849169e-02	-8.849169e-02	-8.849169e-02
1.826892009703442e-01	-8.855467e-01	1.144533e-01	1.152865e-01	-1.152865e-01	-1.152865e-01
1.836657634703442e-01	-8.553936e-01	1.446063e-01	1.454112e-01	-1.454112e-01	-1.454112e-01
1.846423259703442e-01	-8.220211e-01	1.779789e-01	1.787524e-01	-1.787524e-01	-1.787524e-01
1.856188884703442e-01	-7.855546e-01	2.144454e-01	2.151846e-01	-2.151846e-01	-2.151846e-01
1.865954509703442e-01	-7.461315e-01	2.538685e-01	2.545706e-01	-2.545706e-01	-2.545706e-01
