time	V(n003)	V(n001)	V(n002)	V(n005)	V(n004)	I(C1)	I(L1)	I(R2)	I(R1)	I(V2)	I(V1)
0.000000000000000e+00	5.000000e+00	5.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00	8.881784e-28	8.881784e-13	0.000000e+00	-5.684342e-13	-5.684342e-13	-5.684342e-13
1.544885852906321e-03	5.000000e+00	5.495325e+00	5.494866e+00	0.000000e+00	5.494866e+00	2.052757e-13	8.881786e-13	0.000000e+00	-2.995293e-13	-2.995293e-13	-2.995293e-13
3.089771705812643e-03	5.000000e+00	5.975158e+00	5.974251e+00	0.000000e+00	5.974251e+00	2.771622e-13	8.881786e-13	0.000000e+00	-9.319107e-14	-9.319107e-14	-9.319107e-14
4.634657558718964e-03	5.000000e+00	6.439498e+00	6.438156e+00	0.000000e+00	6.438156e+00	2.156597e-13	8.881786e-13	0.000000e+00	5.058049e-14	5.058049e-14	5.058049e-14
6.179543411625285e-03	5.000000e+00	6.888345e+00	6.886581e+00	0.000000e+00	6.886581e+00	2.076793e-14	8.881785e-13	0.000000e+00	1.317854e-13	1.317854e-13	1.317854e-13
7.724429264531606e-03	5.000000e+00	7.321699e+00	7.319525e+00	0.000000e+00	7.319525e+00	-3.075129e-13	8.881783e-13	0.000000e+00	1.504236e-13	1.504236e-13	1.504236e-13
9.269315117437928e-03	5.000000e+00	7.739560e+00	7.736989e+00	0.000000e+00	7.736989e+00	-7.691829e-13	8.881780e-13	0.000000e+00	1.064951e-13	1.064951e-13	1.064951e-13
1.081420097034425e-02	5.000000e+00	8.141929e+00	8.138972e+00	0.000000e+00	8.138972e+00	-1.364242e-12	8.881777e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.374388847034425e-02	5.000000e+00	8.800782e+00	8.797206e+00	0.000000e+00	8.797206e+00	-1.818989e-12	8.881671e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.667357597034425e-02	5.000000e+00	9.331212e+00	9.327137e+00	0.000000e+00	9.327137e+00	-1.818989e-12	8.881411e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.960326347034425e-02	5.000000e+00	9.715294e+00	9.710857e+00	0.000000e+00	9.710857e+00	-1.818989e-12	8.880995e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.253295097034425e-02	5.000000e+00	9.940050e+00	9.935402e+00	0.000000e+00	9.935402e+00	-1.818989e-12	8.880422e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.546263847034425e-02	5.000000e+00	9.997888e+00	9.993185e+00	0.000000e+00	9.993185e+00	-1.818989e-12	8.879694e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.839232597034425e-02	5.000000e+00	9.886851e+00	9.882253e+00	0.000000e+00	9.882253e+00	-1.818989e-12	8.878809e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.132201347034425e-02	5.000000e+00	9.610693e+00	9.606355e+00	0.000000e+00	9.606355e+00	-1.818989e-12	8.877768e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.425170097034425e-02	5.000000e+00	9.178743e+00	9.174811e+00	0.000000e+00	9.174811e+00	-1.818989e-12	8.876571e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.718138847034425e-02	5.000000e+00	8.605598e+00	8.602205e+00	0.000000e+00	8.602205e+00	-1.818989e-12	8.875218e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.011107597034425e-02	5.000000e+00	7.910624e+00	7.907885e+00	0.000000e+00	7.907885e+00	-4.547474e-13	8.873717e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.164567418462996e-02	5.000000e+00	7.495180e+00	7.492832e+00	0.000000e+00	7.492832e+00	-2.517161e-13	8.872899e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.318027239891568e-02	5.000000e+00	7.066857e+00	7.064912e+00	0.000000e+00	7.064912e+00	-9.470734e-14	8.872082e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.471487061320139e-02	5.000000e+00	6.625656e+00	6.624126e+00	0.000000e+00	6.624126e+00	1.627901e-14	8.871264e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.624946882748711e-02	5.000000e+00	6.171577e+00	6.170474e+00	0.000000e+00	6.170474e+00	8.124292e-14	8.870447e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.778406704177282e-02	5.000000e+00	5.704619e+00	5.703956e+00	0.000000e+00	5.703956e+00	1.001844e-13	8.869629e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.931866525605853e-02	5.000000e+00	5.224782e+00	5.224571e+00	0.000000e+00	5.224571e+00	7.310341e-14	8.868811e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.085326347034425e-02	5.000000e+00	4.732068e+00	4.732320e+00	0.000000e+00	4.732320e+00	-5.169879e-26	8.867993e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.210884382748710e-02	5.000000e+00	4.333580e+00	4.334207e+00	0.000000e+00	4.334207e+00	-2.995243e-13	8.867332e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.336442418462996e-02	5.000000e+00	3.945096e+00	3.946088e+00	0.000000e+00	3.946088e+00	-5.425165e-13	8.866660e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.462000454177282e-02	5.000000e+00	3.566614e+00	3.567963e+00	0.000000e+00	3.567963e+00	-7.289765e-13	8.865975e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.587558489891568e-02	5.000000e+00	3.198135e+00	3.199830e+00	0.000000e+00	3.199830e+00	-8.589043e-13	8.865280e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.713116525605853e-02	5.000000e+00	2.839659e+00	2.841691e+00	0.000000e+00	2.841691e+00	-9.323000e-13	8.864573e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.838674561320139e-02	5.000000e+00	2.491185e+00	2.493546e+00	0.000000e+00	2.493546e+00	-9.491634e-13	8.863854e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.964232597034425e-02	5.000000e+00	2.152715e+00	2.155394e+00	0.000000e+00	2.155394e+00	-9.094947e-13	8.863123e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
