time	V(n003)	V(n001)	V(n002)	V(n005)	V(n004)	I(C1)	I(R3)	I(R2)	I(R1)	I(V2)	I(V1)
0.000000000000000e+00	5.000000e+00	5.000000e+00	3.333333e+00	1.666667e+00	1.666667e+00	1.666667e-12	-1.666667e+00	1.666667e+00	-1.666667e+00	-1.666667e+00	-1.666667e+00
1.265867995763464e-03	5.000000e+00	5.403238e+00	3.601912e+00	1.800956e+00	1.935245e+00	1.542706e-12	-1.800956e+00	1.800956e+00	-1.800956e+00	-1.800956e+00	-1.800956e+00
2.531735991526928e-03	5.000000e+00	5.797882e+00	3.864764e+00	1.932382e+00	2.198097e+00	1.532283e-12	-1.932382e+00	1.932382e+00	-1.932382e+00	-1.932382e+00	-1.932382e+00
3.797603987290392e-03	5.000000e+00	6.183931e+00	4.121890e+00	2.060945e+00	2.455223e+00	1.635397e-12	-2.060945e+00	2.060945e+00	-2.060945e+00	-2.060945e+00	-2.060945e+00
5.063471983053856e-03	5.000000e+00	6.561386e+00	4.373290e+00	2.186645e+00	2.706623e+00	1.852049e-12	-2.186645e+00	2.186645e+00	-2.186645e+00	-2.186645e+00	-2.186645e+00
6.329339978817320e-03	5.000000e+00	6.930246e+00	4.618963e+00	2.309482e+00	2.952296e+00	2.182239e-12	-2.309482e+00	2.309482e+00	-2.309482e+00	-2.309482e+00	-2.309482e+00
7.595207974580784e-03	5.000000e+00	7.290511e+00	4.858910e+00	2.429455e+00	3.192243e+00	2.625966e-12	-2.429455e+00	2.429455e+00	-2.429455e+00	-2.429455e+00	-2.429455e+00
8.861075970344245e-03	5.000000e+00	7.642182e+00	5.093131e+00	2.546565e+00	3.426464e+00	3.183231e-12	-2.546565e+00	2.546565e+00	-2.546565e+00	-2.546565e+00	-2.546565e+00
1.179076347034425e-02	5.000000e+00	8.374523e+00	5.580899e+00	2.790449e+00	3.914232e+00	3.410605e-12	-2.790449e+00	2.790449e+00	-2.790449e+00	-2.790449e+00	-2.790449e+00
1.472045097034425e-02	5.000000e+00	8.992843e+00	5.992723e+00	2.996362e+00	4.326057e+00	4.092726e-12	-2.996362e+00	2.996362e+00	-2.996362e+00	-2.996362e+00	-2.996362e+00
1.765013847034425e-02	5.000000e+00	9.476248e+00	6.314691e+00	3.157345e+00	4.648024e+00	3.637979e-12	-3.157345e+00	3.157345e+00	-3.157345e+00	-3.157345e+00	-3.157345e+00
2.057982597034425e-02	5.000000e+00	9.808405e+00	6.535920e+00	3.267960e+00	4.869253e+00	3.183231e-12	-3.267960e+00	3.267960e+00	-3.267960e+00	-3.267960e+00	-3.267960e+00
2.350951347034425e-02	5.000000e+00	9.978090e+00	6.648937e+00	3.324469e+00	4.982271e+00	4.092726e-12	-3.324469e+00	3.324469e+00	-3.324469e+00	-3.324469e+00	-3.324469e+00
2.546263847034425e-02	5.000000e+00	9.997888e+00	6.662123e+00	3.331062e+00	4.995457e+00	4.092726e-12	-3.331062e+00	3.331062e+00	-3.331062e+00	-3.331062e+00	-3.331062e+00
2.741576347034425e-02	5.000000e+00	9.942513e+00	6.625241e+00	3.312621e+00	4.958574e+00	4.092726e-12	-3.312621e+00	3.312621e+00	-3.312621e+00	-3.312621e+00	-3.312621e+00
3.034545097034425e-02	5.000000e+00	9.720629e+00	6.477458e+00	3.238729e+00	4.810791e+00	3.183231e-12	-3.238729e+00	3.238729e+00	-3.238729e+00	-3.238729e+00	-3.238729e+00
3.327513847034425e-02	5.000000e+00	9.339239e+00	6.223437e+00	3.111719e+00	4.556771e+00	3.637979e-12	-3.111719e+00	3.111719e+00	-3.111719e+00	-3.111719e+00	-3.111719e+00
3.620482597034425e-02	5.000000e+00	8.811232e+00	5.871763e+00	2.935882e+00	4.205097e+00	3.183231e-12	-2.935882e+00	2.935882e+00	-2.935882e+00	-2.935882e+00	-2.935882e+00
3.913451347034425e-02	5.000000e+00	8.154446e+00	5.434319e+00	2.717159e+00	3.767652e+00	3.637979e-12	-2.717159e+00	2.717159e+00	-2.717159e+00	-2.717159e+00	-2.717159e+00
4.206420097034425e-02	5.000000e+00	7.391074e+00	4.925883e+00	2.462942e+00	3.259216e+00	2.273737e-12	-2.462942e+00	2.462942e+00	-2.462942e+00	-2.462942e+00	-2.462942e+00
4.499388847034425e-02	5.000000e+00	6.546911e+00	4.363637e+00	2.181818e+00	2.696970e+00	1.818989e-12	-2.181818e+00	2.181818e+00	-2.181818e+00	-2.181818e+00	-2.181818e+00
