time	V(n003)	V(n001)	V(n002)	V(n005)	V(n004)	I(C1)	I(L1)	I(R3)	I(R2)	I(R1)	I(V2)	I(V1)
0.000000000000000e+00	5.000000e+00	5.000000e+00	3.333333e+00	1.666667e+00	3.333333e+00	4.440892e-28	4.440892e-13	-1.666667e+00	1.666667e+00	-1.666667e+00	-1.666667e+00	-1.666667e+00
1.544885852906321e-03	5.000000e+00	5.495325e+00	3.663244e+00	1.831622e+00	3.663244e+00	-2.678909e-13	4.440906e-13	-1.831622e+00	1.831622e+00	-1.831622e+00	-1.831622e+00	-1.831622e+00
3.089771705812643e-03	5.000000e+00	5.975158e+00	3.982834e+00	1.991417e+00	3.982834e+00	-4.897942e-13	4.440903e-13	-1.991417e+00	1.991417e+00	-1.991417e+00	-1.991417e+00	-1.991417e+00
4.634657558718964e-03	5.000000e+00	6.439498e+00	4.292104e+00	2.146052e+00	4.292104e+00	-6.657097e-13	4.440884e-13	-2.146052e+00	2.146052e+00	-2.146052e+00	-2.146052e+00	-2.146052e+00
6.179543411625285e-03	5.000000e+00	6.888345e+00	4.591054e+00	2.295527e+00	4.591054e+00	-7.956375e-13	4.440849e-13	-2.295527e+00	2.295527e+00	-2.295527e+00	-2.295527e+00	-2.295527e+00
7.724429264531606e-03	5.000000e+00	7.321699e+00	4.879683e+00	2.439842e+00	4.879683e+00	-8.795776e-13	4.440797e-13	-2.439842e+00	2.439842e+00	-2.439842e+00	-2.439842e+00	-2.439842e+00
9.269315117437928e-03	5.000000e+00	7.739560e+00	5.157992e+00	2.578996e+00	5.157992e+00	-9.175300e-13	4.440729e-13	-2.578996e+00	2.578996e+00	-2.578996e+00	-2.578996e+00	-2.578996e+00
1.081420097034425e-02	5.000000e+00	8.141929e+00	5.425982e+00	2.712991e+00	5.425982e+00	-9.094947e-13	4.440645e-13	-2.712991e+00	2.712991e+00	-2.712991e+00	-2.712991e+00	-2.712991e+00
1.374388847034425e-02	5.000000e+00	8.800782e+00	5.864804e+00	2.932402e+00	5.864804e+00	-9.094947e-13	4.440411e-13	-2.932402e+00	2.932402e+00	-2.932402e+00	-2.932402e+00	-2.932402e+00
1.667357597034425e-02	5.000000e+00	9.331212e+00	6.218091e+00	3.109046e+00	6.218091e+00	-9.094947e-13	4.440098e-13	-3.109046e+00	3.109046e+00	-3.109046e+00	-3.109046e+00	-3.109046e+00
