time	N001	V1	R1	I1
0	0	-1	0	1
1e-06	1.00006	-2.00006	1.00006	1
2e-06	1.00013	-2.00013	1.00013	1
3e-06	1.00019	-2.00019	1.00019	1
4e-06	1.00025	-2.00025	1.00025	1
5e-06	1.00031	-2.00031	1.00031	1
6e-06	1.00038	-2.00038	1.00038	1
7e-06	1.00044	-2.00044	1.00044	1
8e-06	1.0005	-2.0005	1.0005	1
9e-06	1.00057	-2.00057	1.00057	1
1e-05	1.00063	-2.00063	1.00063	1
1.1e-05	1.00069	-2.00069	1.00069	1
1.2e-05	1.00075	-2.00075	1.00075	1
1.3e-05	1.00082	-2.00082	1.00082	1
1.4e-05	1.00088	-2.00088	1.00088	1
1.5e-05	1.00094	-2.00094	1.00094	1
1.6e-05	1.00101	-2.00101	1.00101	1
1.7e-05	1.00107	-2.00107	1.00107	1
1.8e-05	1.00113	-2.00113	1.00113	1
1.9e-05	1.00119	-2.00119	1.00119	1
2e-05	1.00126	-2.00126	1.00126	1
2.1e-05	1.00132	-2.00132	1.00132	1
2.2e-05	1.00138	-2.00138	1.00138	1
2.3e-05	1.00145	-2.00145	1.00145	1
2.4e-05	1.00151	-2.00151	1.00151	1
2.5e-05	1.00157	-2.00157	1.00157	1
2.6e-05	1.00163	-2.00163	1.00163	1
2.7e-05	1.0017	-2.0017	1.0017	1
2.8e-05	1.00176	-2.00176	1.00176	1
2.9e-05	1.00182	-2.00182	1.00182	1
3e-05	1.00188	-2.00188	1.00188	1
3.1e-05	1.00195	-2.00195	1.00195	1
3.2e-05	1.00201	-2.00201	1.00201	1
3.3e-05	1.00207	-2.00207	1.00207	1
3.4e-05	1.00214	-2.00214	1.00214	1
3.5e-05	1.0022	-2.0022	1.0022	1
3.6e-05	1.00226	-2.00226	1.00226	1
3.7e-05	1.00232	-2.00232	1.00232	1
3.8e-05	1.00239	-2.00239	1.00239	1
3.9e-05	1.00245	-2.00245	1.00245	1
4e-05	1.00251	-2.00251	1.00251	1
4.1e-05	1.00258	-2.00258	1.00258	1
4.2e-05	1.00264	-2.00264	1.00264	1
4.3e-05	1.0027	-2.0027	1.0027	1
4.4e-05	1.00276	-2.00276	1.00276	1
4.5e-05	1.00283	-2.00283	1.00283	1
4.6e-05	1.00289	-2.00289	1.00289	1
4.7e-05	1.00295	-2.00295	1.00295	1
4.8e-05	1.00302	-2.00302	1.00302	1
4.9e-05	1.00308	-2.00308	1.00308	1
5e-05	1.00314	-2.00314	1.00314	1
5.1e-05	1.0032	-2.0032	1.0032	1
5.2e-05	1.00327	-2.00327	1.00327	1
5.3e-05	1.00333	-2.00333	1.00333	1
5.4e-05	1.00339	-2.00339	1.00339	1
5.5e-05	1.00346	-2.00346	1.00346	1
5.6e-05	1.00352	-2.00352	1.00352	1
5.7e-05	1.00358	-2.00358	1.00358	1
5.8e-05	1.00364	-2.00364	1.00364	1
5.9e-05	1.00371	-2.00371	1.00371	1
6e-05	1.00377	-2.00377	1.00377	1
6.1e-05	1.00383	-2.00383	1.00383	1
6.2e-05	1.0039	-2.0039	1.0039	1
6.3e-05	1.00396	-2.00396	1.00396	1
6.4e-05	1.00402	-2.00402	1.00402	1
6.5e-05	1.00408	-2.00408	1.00408	1
6.6e-05	1.00415	-2.00415	1.00415	1
6.7e-05	1.00421	-2.00421	1.00421	1
6.8e-05	1.00427	-2.00427	1.00427	1
6.9e-05	1.00434	-2.00434	1.00434	1
7e-05	1.0044	-2.0044	1.0044	1
7.1e-05	1.00446	-2.00446	1.00446	1
7.2e-05	1.00452	-2.00452	1.00452	1
7.3e-05	1.00459	-2.00459	1.00459	1
7.4e-05	1.00465	-2.00465	1.00465	1
7.5e-05	1.00471	-2.00471	1.00471	1
7.6e-05	1.00478	-2.00478	1.00478	1
7.7e-05	1.00484	-2.00484	1.00484	1
7.8e-05	1.0049	-2.0049	1.0049	1
7.9e-05	1.00496	-2.00496	1.00496	1
8e-05	1.00503	-2.00503	1.00503	1
8.1e-05	1.00509	-2.00509	1.00509	1
8.2e-05	1.00515	-2.00515	1.00515	1
8.3e-05	1.00522	-2.00522	1.00522	1
8.4e-05	1.00528	-2.00528	1.00528	1
8.5e-05	1.00534	-2.00534	1.00534	1
8.6e-05	1.0054	-2.0054	1.0054	1
8.7e-05	1.00547	-2.00547	1.00547	1
8.8e-05	1.00553	-2.00553	1.00553	1
8.9e-05	1.00559	-2.00559	1.00559	1
9e-05	1.00565	-2.00565	1.00565	1
9.1e-05	1.00572	-2.00572	1.00572	1
9.2e-05	1.00578	-2.00578	1.00578	1
9.3e-05	1.00584	-2.00584	1.00584	1
9.4e-05	1.00591	-2.00591	1.00591	1
9.5e-05	1.00597	-2.00597	1.00597	1
9.6e-05	1.00603	-2.00603	1.00603	1
9.7e-05	1.00609	-2.00609	1.00609	1
9.8e-05	1.00616	-2.00616	1.00616	1
9.9e-05	1.00622	-2.00622	1.00622	1
0.0001	1.00628	-2.00628	1.00628	1
0.000101	1.00635	-2.00635	1.00635	1
0.000102	1.00641	-2.00641	1.00641	1
0.000103	1.00647	-2.00647	1.00647	1
0.000104	1.00653	-2.00653	1.00653	1
0.000105	1.0066	-2.0066	1.0066	1
0.000106	1.00666	-2.00666	1.00666	1
0.000107	1.00672	-2.00672	1.00672	1
0.000108	1.00679	-2.00679	1.00679	1
0.000109	1.00685	-2.00685	1.00685	1
0.00011	1.00691	-2.00691	1.00691	1
0.000111	1.00697	-2.00697	1.00697	1
0.000112	1.00704	-2.00704	1.00704	1
0.000113	1.0071	-2.0071	1.0071	1
0.000114	1.00716	-2.00716	1.00716	1
0.000115	1.00723	-2.00723	1.00723	1
0.000116	1.00729	-2.00729	1.00729	1
0.000117	1.00735	-2.00735	1.00735	1
0.000118	1.00741	-2.00741	1.00741	1
0.000119	1.00748	-2.00748	1.00748	1
0.00012	1.00754	-2.00754	1.00754	1
0.000121	1.0076	-2.0076	1.0076	1
0.000122	1.00767	-2.00767	1.00767	1
0.000123	1.00773	-2.00773	1.00773	1
0.000124	1.00779	-2.00779	1.00779	1
0.000125	1.00785	-2.00785	1.00785	1
0.000126	1.00792	-2.00792	1.00792	1
0.000127	1.00798	-2.00798	1.00798	1
0.000128	1.00804	-2.00804	1.00804	1
0.000129	1.00811	-2.00811	1.00811	1
0.00013	1.00817	-2.00817	1.00817	1
0.000131	1.00823	-2.00823	1.00823	1
0.000132	1.00829	-2.00829	1.00829	1
0.000133	1.00836	-2.00836	1.00836	1
0.000134	1.00842	-2.00842	1.00842	1
0.000135	1.00848	-2.00848	1.00848	1
0.000136	1.00855	-2.00854	1.00855	1
0.000137	1.00861	-2.00861	1.00861	1
0.000138	1.00867	-2.00867	1.00867	1
0.000139	1.00873	-2.00873	1.00873	1
0.00014	1.0088	-2.0088	1.0088	1
0.000141	1.00886	-2.00886	1.00886	1
0.000142	1.00892	-2.00892	1.00892	1
0.000143	1.00898	-2.00898	1.00898	1
0.000144	1.00905	-2.00905	1.00905	1
0.000145	1.00911	-2.00911	1.00911	1
0.000146	1.00917	-2.00917	1.00917	1
0.000147	1.00924	-2.00924	1.00924	1
0.000148	1.0093	-2.0093	1.0093	1
0.000149	1.00936	-2.00936	1.00936	1
0.00015	1.00942	-2.00942	1.00942	1
0.000151	1.00949	-2.00949	1.00949	1
0.000152	1.00955	-2.00955	1.00955	1
0.000153	1.00961	-2.00961	1.00961	1
0.000154	1.00968	-2.00968	1.00968	1
0.000155	1.00974	-2.00974	1.00974	1
0.000156	1.0098	-2.0098	1.0098	1
0.000157	1.00986	-2.00986	1.00986	1
0.000158	1.00993	-2.00993	1.00993	1
0.000159	1.00999	-2.00999	1.00999	1
0.00016	1.01005	-2.01005	1.01005	1
0.000161	1.01012	-2.01012	1.01012	1
0.000162	1.01018	-2.01018	1.01018	1
0.000163	1.01024	-2.01024	1.01024	1
0.000164	1.0103	-2.0103	1.0103	1
0.000165	1.01037	-2.01037	1.01037	1
0.000166	1.01043	-2.01043	1.01043	1
0.000167	1.01049	-2.01049	1.01049	1
0.000168	1.01056	-2.01056	1.01056	1
0.000169	1.01062	-2.01062	1.01062	1
0.00017	1.01068	-2.01068	1.01068	1
0.000171	1.01074	-2.01074	1.01074	1
0.000172	1.01081	-2.01081	1.01081	1
0.000173	1.01087	-2.01087	1.01087	1
0.000174	1.01093	-2.01093	1.01093	1
0.000175	1.011	-2.011	1.011	1
0.000176	1.01106	-2.01106	1.01106	1
0.000177	1.01112	-2.01112	1.01112	1
0.000178	1.01118	-2.01118	1.01118	1
0.000179	1.01125	-2.01125	1.01125	1
0.00018	1.01131	-2.01131	1.01131	1
0.000181	1.01137	-2.01137	1.01137	1
0.000182	1.01144	-2.01144	1.01144	1
0.000183	1.0115	-2.0115	1.0115	1
0.000184	1.01156	-2.01156	1.01156	1
0.000185	1.01162	-2.01162	1.01162	1
0.000186	1.01169	-2.01169	1.01169	1
0.000187	1.01175	-2.01175	1.01175	1
0.000188	1.01181	-2.01181	1.01181	1
0.000189	1.01187	-2.01187	1.01187	1
0.00019	1.01194	-2.01194	1.01194	1
0.000191	1.012	-2.012	1.012	1
0.000192	1.01206	-2.01206	1.01206	1
0.000193	1.01213	-2.01213	1.01213	1
0.000194	1.01219	-2.01219	1.01219	1
0.000195	1.01225	-2.01225	1.01225	1
0.000196	1.01231	-2.01231	1.01231	1
0.000197	1.01238	-2.01238	1.01238	1
0.000198	1.01244	-2.01244	1.01244	1
0.000199	1.0125	-2.0125	1.0125	1
0.0002	1.01257	-2.01257	1.01257	1
0.000200999	1.01263	-2.01263	1.01263	1
0.000201999	1.01269	-2.01269	1.01269	1
0.000202999	1.01275	-2.01275	1.01275	1
0.000203999	1.01282	-2.01282	1.01282	1
0.000204999	1.01288	-2.01288	1.01288	1
0.000205999	1.01294	-2.01294	1.01294	1
0.000206999	1.01301	-2.01301	1.01301	1
0.000207999	1.01307	-2.01307	1.01307	1
0.000208999	1.01313	-2.01313	1.01313	1
0.000209999	1.01319	-2.01319	1.01319	1
0.000210999	1.01326	-2.01326	1.01326	1
0.000211999	1.01332	-2.01332	1.01332	1
0.000212999	1.01338	-2.01338	1.01338	1
0.000213999	1.01345	-2.01345	1.01345	1
0.000214999	1.01351	-2.01351	1.01351	1
0.000215999	1.01357	-2.01357	1.01357	1
0.000216999	1.01363	-2.01363	1.01363	1
0.000217999	1.0137	-2.0137	1.0137	1
0.000218999	1.01376	-2.01376	1.01376	1
0.000219999	1.01382	-2.01382	1.01382	1
0.000220999	1.01389	-2.01389	1.01389	1
0.000221999	1.01395	-2.01395	1.01395	1
0.000222999	1.01401	-2.01401	1.01401	1
0.000223999	1.01407	-2.01407	1.01407	1
0.000224999	1.01414	-2.01414	1.01414	1
0.000225999	1.0142	-2.0142	1.0142	1
0.000226999	1.01426	-2.01426	1.01426	1
0.000227999	1.01433	-2.01433	1.01433	1
0.000228999	1.01439	-2.01439	1.01439	1
0.000229999	1.01445	-2.01445	1.01445	1
0.000230999	1.01451	-2.01451	1.01451	1
0.000231999	1.01458	-2.01458	1.01458	1
0.000232999	1.01464	-2.01464	1.01464	1
0.000233999	1.0147	-2.0147	1.0147	1
0.000234999	1.01476	-2.01476	1.01476	1
0.000235999	1.01483	-2.01483	1.01483	1
0.000236999	1.01489	-2.01489	1.01489	1
0.000237999	1.01495	-2.01495	1.01495	1
0.000238999	1.01502	-2.01502	1.01502	1
0.000239999	1.01508	-2.01508	1.01508	1
0.000240999	1.01514	-2.01514	1.01514	1
0.000241999	1.0152	-2.0152	1.0152	1
0.000242999	1.01527	-2.01527	1.01527	1
0.000243999	1.01533	-2.01533	1.01533	1
0.000244999	1.01539	-2.01539	1.01539	1
0.000245999	1.01546	-2.01546	1.01546	1
0.000246999	1.01552	-2.01552	1.01552	1
0.000247999	1.01558	-2.01558	1.01558	1
0.000248999	1.01564	-2.01564	1.01564	1
0.000249999	1.01571	-2.01571	1.01571	1
0.000250999	1.01577	-2.01577	1.01577	1
0.000251999	1.01583	-2.01583	1.01583	1
0.000252999	1.0159	-2.0159	1.0159	1
0.000253999	1.01596	-2.01596	1.01596	1
0.000254999	1.01602	-2.01602	1.01602	1
0.000255999	1.01608	-2.01608	1.01608	1
0.000256999	1.01615	-2.01615	1.01615	1
0.000257999	1.01621	-2.01621	1.01621	1
0.000258999	1.01627	-2.01627	1.01627	1
0.000259999	1.01634	-2.01634	1.01634	1
0.000260999	1.0164	-2.0164	1.0164	1
0.000261999	1.01646	-2.01646	1.01646	1
0.000262999	1.01652	-2.01652	1.01652	1
0.000263999	1.01659	-2.01659	1.01659	1
0.000264999	1.01665	-2.01665	1.01665	1
0.000265999	1.01671	-2.01671	1.01671	1
0.000266999	1.01678	-2.01678	1.01678	1
0.000267999	1.01684	-2.01684	1.01684	1
0.000268999	1.0169	-2.0169	1.0169	1
0.000269999	1.01696	-2.01696	1.01696	1
0.000270999	1.01703	-2.01703	1.01703	1
0.000271999	1.01709	-2.01709	1.01709	1
0.000272999	1.01715	-2.01715	1.01715	1
0.000273999	1.01722	-2.01722	1.01722	1
0.000274999	1.01728	-2.01728	1.01728	1
0.000275999	1.01734	-2.01734	1.01734	1
0.000276999	1.0174	-2.0174	1.0174	1
0.000277999	1.01747	-2.01747	1.01747	1
0.000278999	1.01753	-2.01753	1.01753	1
0.000279999	1.01759	-2.01759	1.01759	1
0.000280999	1.01765	-2.01765	1.01765	1
0.000281999	1.01772	-2.01772	1.01772	1
0.000282999	1.01778	-2.01778	1.01778	1
0.000283999	1.01784	-2.01784	1.01784	1
0.000284999	1.01791	-2.01791	1.01791	1
0.000286	1.01797	-2.01797	1.01797	1
0.000287	1.01803	-2.01803	1.01803	1
0.000288	1.01809	-2.01809	1.01809	1
0.000289	1.01816	-2.01816	1.01816	1
0.00029	1.01822	-2.01822	1.01822	1
0.000291	1.01828	-2.01828	1.01828	1
0.000292	1.01835	-2.01835	1.01835	1
0.000293	1.01841	-2.01841	1.01841	1
0.000294	1.01847	-2.01847	1.01847	1
0.000295	1.01853	-2.01853	1.01853	1
0.000296	1.0186	-2.0186	1.0186	1
0.000297	1.01866	-2.01866	1.01866	1
0.000298	1.01872	-2.01872	1.01872	1
0.000299	1.01879	-2.01879	1.01879	1
0.0003	1.01885	-2.01885	1.01885	1
0.000301	1.01891	-2.01891	1.01891	1
0.000302	1.01897	-2.01897	1.01897	1
0.000303	1.01904	-2.01904	1.01904	1
0.000304	1.0191	-2.0191	1.0191	1
0.000305	1.01916	-2.01916	1.01916	1
0.000306	1.01923	-2.01923	1.01923	1
0.000307	1.01929	-2.01929	1.01929	1
0.000308	1.01935	-2.01935	1.01935	1
0.000309	1.01941	-2.01941	1.01941	1
0.00031	1.01948	-2.01948	1.01948	1
0.000311	1.01954	-2.01954	1.01954	1
0.000312	1.0196	-2.0196	1.0196	1
0.000313	1.01967	-2.01967	1.01967	1
0.000314	1.01973	-2.01973	1.01973	1
0.000315	1.01979	-2.01979	1.01979	1
0.000316	1.01985	-2.01985	1.01985	1
0.000317	1.01992	-2.01992	1.01992	1
0.000318	1.01998	-2.01998	1.01998	1
0.000319	1.02004	-2.02004	1.02004	1
