time	d	a	c	R1	R2	R3	L2	C2	V1
0	0	0	0	0	0	0	0	0	0
1e-06	0.0387799	0.0387839	0.0627905	6.46332e-06	-1.20033e-05	-5.53999e-06	0	-1.20029e-05	-1.20033e-05
2e-06	0.0774068	0.0774147	0.125333	1.29011e-05	-2.39592e-05	-1.10581e-05	-1.00028e-14	-2.39611e-05	-2.39592e-05
3e-06	0.115728	0.11574	0.187381	1.9288e-05	-3.58206e-05	-1.65326e-05	-1.9866e-14	-3.58075e-05	-3.58206e-05
4e-06	0.153593	0.153609	0.24869	2.55988e-05	-4.75407e-05	-2.19418e-05	-2.95508e-14	-4.75198e-05	-4.75407e-05
5e-06	0.190852	0.190871	0.309017	3.18086e-05	-5.90731e-05	-2.72645e-05	-3.90191e-14	-5.9098e-05	-5.90731e-05
6e-06	0.227357	0.22738	0.368125	3.78928e-05	-7.03724e-05	-3.24796e-05	-4.82335e-14	-7.03633e-05	-7.03724e-05
7e-06	0.262965	0.262991	0.425779	4.38275e-05	-8.13939e-05	-3.75664e-05	-5.71571e-14	-8.14498e-05	-8.13939e-05
8e-06	0.297535	0.297565	0.481754	4.95892e-05	-9.20943e-05	-4.25051e-05	-6.57554e-14	-9.20892e-05	-9.20943e-05
9e-06	0.330932	0.330964	0.535827	5.51553e-05	-0.000102431	-4.72759e-05	-7.39936e-14	-0.00010246	-0.000102431
1e-05	0.363022	0.363058	0.587785	6.05036e-05	-0.000112364	-5.18603e-05	-8.18402e-14	-0.000112385	-0.000112364
1.1e-05	0.393679	0.393718	0.637424	6.56132e-05	-0.000121853	-5.62399e-05	-8.92636e-14	-0.000121862	-0.000121853
1.2e-05	0.422783	0.422824	0.684547	7.04639e-05	-0.000130861	-6.03976e-05	-9.62348e-14	-0.000130802	-0.000130861
1.3e-05	0.450219	0.450262	0.728969	7.50364e-05	-0.000139353	-6.43169e-05	-1.02726e-13	-0.000139385	-0.000139353
1.4e-05	0.475877	0.475923	0.770513	7.93128e-05	-0.000147295	-6.79824e-05	-1.08713e-13	-0.000147253	-0.000147295
1.5e-05	0.499658	0.499705	0.809017	8.32763e-05	-0.000154656	-7.13797e-05	-1.1417e-13	-0.000154674	-0.000154656
1.6e-05	0.521466	0.521516	0.844328	8.6911e-05	-0.000161406	-7.44952e-05	-1.19076e-13	-0.000161469	-0.000161406
1.7e-05	0.541217	0.541268	0.876307	9.02028e-05	-0.00016752	-7.73167e-05	-1.23413e-13	-0.000167549	-0.00016752
1.8e-05	0.558832	0.558884	0.904827	9.31386e-05	-0.000172972	-7.98331e-05	-1.27161e-13	-0.000172913	-0.000172972
1.9e-05	0.574241	0.574294	0.929777	9.57068e-05	-0.000177741	-8.20344e-05	-1.30309e-13	-0.000177741	-0.000177741
2e-05	0.587384	0.587438	0.951057	9.78973e-05	-0.000181809	-8.3912e-05	-1.32842e-13	-0.000181854	-0.000181809
2.1e-05	0.598209	0.598263	0.968583	9.97015e-05	-0.00018516	-8.54584e-05	-1.34751e-13	-0.000185072	-0.00018516
2.2e-05	0.606673	0.606728	0.982287	0.000101112	-0.00018778	-8.66676e-05	-1.36028e-13	-0.000187755	-0.00018778
