time	d	a	c	R1	R2	R3	V1	C2	C1
0	0	0	0	0	0	0	0	0	0
1e-06	0.0387813	0.038783	0.0627905	6.46355e-06	-1.20037e-05	-5.54019e-06	-1.20037e-05	-5.1409e-06	-6.85453e-06
2e-06	0.0774096	0.077413	0.125333	1.29016e-05	-2.39601e-05	-1.10585e-05	-2.39601e-05	-1.02595e-05	-1.36793e-05
3e-06	0.115732	0.115737	0.187381	1.92887e-05	-3.58219e-05	-1.65332e-05	-3.58219e-05	-1.53556e-05	-2.04742e-05
4e-06	0.153598	0.153605	0.24869	2.55997e-05	-4.75424e-05	-2.19426e-05	-4.75424e-05	-2.03401e-05	-2.71201e-05
5e-06	0.190858	0.190867	0.309017	3.18097e-05	-5.90752e-05	-2.72655e-05	-5.90752e-05	-2.53022e-05	-3.37362e-05
6e-06	0.227365	0.227375	0.368125	3.78942e-05	-7.03749e-05	-3.24807e-05	-7.03749e-05	-3.01749e-05	-4.02331e-05
7e-06	0.262974	0.262986	0.425779	4.38291e-05	-8.13968e-05	-3.75678e-05	-8.13968e-05	-3.48687e-05	-4.64916e-05
8e-06	0.297546	0.297559	0.481754	4.9591e-05	-9.20975e-05	-4.25066e-05	-9.20975e-05	-3.95179e-05	-5.26905e-05
9e-06	0.330943	0.330957	0.535827	5.51572e-05	-0.000102435	-4.72776e-05	-0.000102435	-4.38988e-05	-5.85318e-05
1e-05	0.363034	0.36305	0.587785	6.05057e-05	-0.000112368	-5.18621e-05	-0.000112368	-4.8101e-05	-6.41346e-05
1.1e-05	0.393693	0.393709	0.637424	6.56155e-05	-0.000121857	-5.62418e-05	-0.000121857	-5.23031e-05	-6.97374e-05
1.2e-05	0.422798	0.422815	0.684547	7.04663e-05	-0.000130866	-6.03997e-05	-0.000130866	-5.60582e-05	-7.47442e-05
1.3e-05	0.450234	0.450252	0.728969	7.5039e-05	-0.000139358	-6.43191e-05	-0.000139358	-5.97239e-05	-7.96318e-05
1.4e-05	0.475893	0.475913	0.770513	7.93155e-05	-0.0001473	-6.79847e-05	-0.0001473	-6.32107e-05	-8.4281e-05
1.5e-05	0.499674	0.499695	0.809017	8.32791e-05	-0.000154661	-7.13821e-05	-0.000154661	-6.62506e-05	-8.83341e-05
1.6e-05	0.521484	0.521505	0.844328	8.69139e-05	-0.000161412	-7.44977e-05	-0.000161412	-6.9201e-05	-9.2268e-05
1.7e-05	0.541235	0.541257	0.876307	9.02058e-05	-0.000167525	-7.73193e-05	-0.000167525	-7.18832e-05	-9.58443e-05
1.8e-05	0.55885	0.558872	0.904827	9.31417e-05	-0.000172977	-7.98357e-05	-0.000172977	-7.4029e-05	-9.87053e-05
1.9e-05	0.57426	0.574282	0.929777	9.57099e-05	-0.000177747	-8.20371e-05	-0.000177747	-7.61747e-05	-0.000101566
2e-05	0.587403	0.587426	0.951057	9.79005e-05	-0.000181815	-8.39147e-05	-0.000181815	-7.79629e-05	-0.000103951
2.1e-05	0.598228	0.598252	0.968583	9.97047e-05	-0.000185166	-8.54612e-05	-0.000185166	-7.93934e-05	-0.000105858
2.2e-05	0.606692	0.606716	0.982287	0.000101115	-0.000187786	-8.66703e-05	-0.000187786	-8.04663e-05	-0.000107288
2.3e-05	0.612762	0.612786	0.992115	0.000102127	-0.000189665	-8.75375e-05	-0.000189665	-8.11815e-05	-0.000108242
2.4e-05	0.616414	0.616437	0.998027	0.000102736	-0.000190795	-8.80591e-05	-0.000190795	-8.1718e-05	-0.000108957
2.5e-05	0.617633	0.617656	1	0.000102939	-0.000191172	-8.82333e-05	-0.000191172	-8.20756e-05	-0.000109434
2.6e-05	0.616414	0.616437	0.998027	0.000102736	-0.000190795	-8.80592e-05	-0.000190795	-8.18968e-05	-0.000109196
2.7e-05	0.612763	0.612785	0.992115	0.000102127	-0.000189665	-8.75376e-05	-0.000189665	-8.13603e-05	-0.00010848
2.8e-05	0.606693	0.606715	0.982287	0.000101116	-0.000187786	-8.66705e-05	-0.000187786	-8.04663e-05	-0.000107288
2.9e-05	0.598229	0.598251	0.968583	9.97049e-05	-0.000185166	-8.54613e-05	-0.000185166	-7.93934e-05	-0.000105858
